dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,97.5,333.8999999999999,375.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 memory,0.0865,Intermediate,173,0.4041994750656168,0.8901734104046243,0.555956678700361,2,0.3693333333333333,0.4041994750656168,63.5,333.8999999999999,375.0,0.0,0.8901734104046243,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 naive I,0.0735,Intermediate,147,0.5445544554455446,0.3741496598639456,0.4435483870967743,1,0.5445544554455446,0.5445544554455446,238.0,361.3,375.0,0.0,0.3741496598639456,1,0.5,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,238.0,361.3,375.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.3333333333333333,0.02702702702702703,0.05,1,0.3333333333333333,0.3333333333333333,45.0,170.04999999999993,202.0,0.0,0.02702702702702703,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD56dim CD16bright NK,0.206,Common,412,0.82,0.9951456310679612,0.8991228070175438,9,0.7475492783179277,0.82,29.0,170.04999999999993,202.0,0.0048543689320388345,0.9951456310679612,7,0.7,5,0.5
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 effector,0.06,Intermediate,120,0.5241935483870968,0.5416666666666666,0.5327868852459015,7,0.5777658431793771,0.5241935483870968,23.0,145.19999999999996,202.0,0.025,0.5416666666666666,4,0.23529411764705882,1,0.058823529411764705
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 memory,0.038,Intermediate,76,0.2872340425531915,0.35526315789473684,0.31764705882352945,1,0.2872340425531915,0.2872340425531915,43.0,224.2999999999998,375.0,0.0,0.35526315789473684,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 naive,0.0385,Intermediate,77,0.0,0.0,0.0,0,,,101.0,347.59999999999997,375.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Classical monocytes,0.1035,Common,207,0.6047197640117994,0.9903381642512077,0.7509157509157509,1,0.6047197640117994,0.6047197640117994,53.0,310.4,339.0,0.0,0.9903381642512077,1,0.3333333333333333,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Erythroid ,0.005,Rare,10,1.0,1.0,1.0,2,1.0,1.0,5.0,7.699999999999999,8.0,1.0,1.0,2,1.0,2,1.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.5726495726495726,0.7444444444444445,0.6473429951690821,3,0.5814807528362516,0.5726495726495726,47.0,276.9999999999999,375.0,0.0,0.7444444444444445,3,0.375,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Memory B,0.0215,Intermediate,43,0.0,0.0,0.0,0,,,82.5,153.15,161.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,45.0,162.94999999999996,202.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.42857142857142855,0.6428571428571429,0.5142857142857143,1,0.42857142857142855,0.42857142857142855,42.0,281.79999999999995,339.0,0.0,0.6428571428571429,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Naive B,0.057,Intermediate,114,0.6909090909090909,1.0,0.8172043010752689,2,0.5978260869565217,0.6909090909090909,82.5,153.15,161.0,0.0,1.0,1,0.5,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,42.0,309.29999999999995,339.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Non classical monocytes,0.051,Intermediate,102,0.7411764705882353,0.6176470588235294,0.6737967914438503,3,0.6319856244384546,0.7411764705882353,35.0,267.5,339.0,0.0,0.6176470588235294,2,0.3333333333333333,1,0.16666666666666666
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Plasma cells,0.002,Rare,4,0.0,0.0,0.0,0,,,15.0,16.8,17.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelet-T cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,69.0,124.8,131.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,42.0,309.29999999999995,339.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelets,0.003,Rare,6,0.0,0.0,0.0,0,,,190.5,324.15,339.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,95.0,191.29999999999998,202.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,238.0,361.3,375.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,T-NK-B cell doublets,0.0265,Intermediate,53,0.8717948717948718,0.6415094339622641,0.7391304347826088,4,0.9009372979961214,0.8717948717948718,15.0,276.69999999999993,339.0,0.03773584905660377,0.6415094339622641,4,0.5,4,0.5
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,33.5,294.4499999999999,339.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,gdT cells,0.04,Intermediate,80,0.0,0.0,0.0,0,,,41.5,114.79999999999995,131.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,plasmacytoid DC,0.0055,Rare,11,0.0,0.0,0.0,0,,,182.0,323.3,339.0,0.0,0.0,0,0.0,0,0.0
