dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,217.5,396.5,398.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 memory,0.0865,Intermediate,173,0.3333333333333333,0.8670520231213873,0.48154093097913314,4,0.4514530537994632,0.3333333333333333,28.0,393.0,398.0,0.0,0.8670520231213873,2,0.18181818181818182,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 naive I,0.0735,Intermediate,147,0.4155844155844156,0.21768707482993196,0.2857142857142857,4,0.448240589198036,0.4155844155844156,26.0,392.0,398.0,0.0,0.21768707482993196,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,27.0,275.1499999999998,398.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.125,0.02702702702702703,0.044444444444444446,1,0.125,0.125,26.0,247.5,388.0,0.0,0.02702702702702703,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD56dim CD16bright NK,0.206,Common,412,0.5430555555555555,0.9490291262135923,0.6908127208480566,15,0.7082700470717679,0.5430555555555555,10.0,106.5,388.0,0.019417475728155338,0.9490291262135923,11,0.5,9,0.4090909090909091
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 effector,0.06,Intermediate,120,0.6,0.025,0.048,2,0.6666666666666666,0.6,20.0,392.0,398.0,0.016666666666666666,0.025,1,0.07692307692307693,1,0.07692307692307693
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 memory,0.038,Intermediate,76,0.25,0.09210526315789473,0.1346153846153846,1,0.25,0.25,28.0,396.0,398.0,0.0,0.09210526315789473,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 naive,0.0385,Intermediate,77,0.3793103448275862,0.14285714285714285,0.20754716981132074,2,0.6785714285714286,0.3793103448275862,28.0,393.5,398.0,0.012987012987012988,0.14285714285714285,1,0.1,1,0.1
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Classical monocytes,0.1035,Common,207,0.49640287769784175,1.0,0.6634615384615384,1,0.49640287769784175,0.49640287769784175,417.0,417.0,417.0,0.0,1.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Erythroid ,0.005,Rare,10,0.5,0.1,0.16666666666666669,1,0.5,0.5,49.5,92.25,97.0,0.0,0.1,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.6666666666666666,0.044444444444444446,0.08333333333333334,1,0.6666666666666666,0.6666666666666666,28.0,395.0,398.0,0.0,0.044444444444444446,1,0.14285714285714285,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Memory B,0.0215,Intermediate,43,0.35,0.16279069767441862,0.22222222222222227,1,0.35,0.35,26.0,94.39999999999999,97.0,0.0,0.16279069767441862,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,20.0,394.5,398.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.0,0.0,0.0,0,,,11.0,338.5999999999999,417.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Naive B,0.057,Intermediate,114,0.6022099447513812,0.956140350877193,0.7389830508474575,2,0.5993495336278841,0.6022099447513812,28.0,94.39999999999999,97.0,0.0,0.956140350877193,2,0.4,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,221.0,397.4,417.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Non classical monocytes,0.051,Intermediate,102,0.4523809523809524,0.18627450980392157,0.26388888888888895,3,0.507070707070707,0.4523809523809524,25.0,407.5,417.0,0.0,0.18627450980392157,1,0.09090909090909091,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Plasma cells,0.002,Rare,4,0.0,0.0,0.0,0,,,27.0,75.59999999999998,84.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelet-T cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,10.0,331.7499999999999,388.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,417.0,417.0,417.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelets,0.003,Rare,6,0.0,0.0,0.0,0,,,212.0,396.5,417.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,20.5,334.7499999999999,388.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,39.0,345.34999999999985,398.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,T-NK-B cell doublets,0.0265,Intermediate,53,0.6666666666666666,0.18867924528301888,0.29411764705882354,2,0.6666666666666666,0.6666666666666666,20.0,407.5,417.0,0.0,0.18867924528301888,2,0.18181818181818182,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,212.5,396.54999999999995,417.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,gdT cells,0.04,Intermediate,80,0.0,0.0,0.0,0,,,30.5,393.5,398.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_modality_weight,0.02,plasmacytoid DC,0.0055,Rare,11,0.0,0.0,0.0,0,,,84.0,352.99999999999994,417.0,0.0,0.0,0,0.0,0,0.0
