dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,B1 B,0.0355,Intermediate,71,0.0,0.0,0.0,0,,,50.0,302.59999999999985,409.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,CD14+ Mono,0.054,Intermediate,108,0.6060606060606061,0.9259259259259259,0.7326007326007326,3,0.5424797424797424,0.6060606060606061,17.5,114.0,143.0,0.0,0.9259259259259259,2,0.3333333333333333,1,0.16666666666666666
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,CD16+ Mono,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,23.5,125.59999999999997,143.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,CD4+ T activated,0.076,Intermediate,152,0.0,0.0,0.0,0,,,48.0,310.19999999999993,409.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,87.0,333.0,409.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,CD8+ T,0.4025,Common,805,0.6877869605142333,0.9304347826086956,0.7909186906019007,13,0.6176455145187677,0.6877869605142333,46.0,257.0,409.0,0.0,0.9304347826086956,10,0.47619047619047616,5,0.23809523809523808
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,Erythroblast,0.0225,Intermediate,45,0.0,0.0,0.0,0,,,37.5,338.75,409.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,17.5,124.54999999999995,143.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,HSC,0.0075,Rare,15,0.5,0.06666666666666667,0.11764705882352941,1,0.5,0.5,27.0,205.39999999999995,257.0,0.0,0.06666666666666667,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,Lymph prog,0.034,Intermediate,68,0.47368421052631576,0.39705882352941174,0.432,3,0.7064989517819705,0.47368421052631576,36.0,310.19999999999993,409.0,0.014705882352941176,0.39705882352941174,2,0.14285714285714285,1,0.07142857142857142
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,MK/E prog,0.0165,Intermediate,33,0.4444444444444444,0.36363636363636365,0.39999999999999997,1,0.4444444444444444,0.4444444444444444,35.0,97.99999999999997,128.0,0.0,0.36363636363636365,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,NK,0.0445,Intermediate,89,0.6666666666666666,0.06741573033707865,0.12244897959183673,2,0.675,0.6666666666666666,48.0,279.7999999999998,409.0,0.0,0.06741573033707865,2,0.1111111111111111,1,0.05555555555555555
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,Naive CD20+ B,0.0825,Intermediate,165,0.37606837606837606,0.8,0.5116279069767442,4,0.3508862948551664,0.37606837606837606,36.0,310.19999999999993,409.0,0.0,0.8,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,Normoblast,0.0105,Intermediate,21,0.2727272727272727,0.14285714285714285,0.18749999999999997,1,0.2727272727272727,0.2727272727272727,37.5,338.75,409.0,0.0,0.14285714285714285,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,143.0,234.39999999999998,257.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,Proerythroblast,0.0805,Intermediate,161,0.6666666666666666,0.906832298136646,0.7684210526315789,4,0.65234375,0.6666666666666666,31.0,94.24999999999991,128.0,0.0,0.906832298136646,4,0.4,1,0.1
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,Transitional B,0.0595,Intermediate,119,0.40816326530612246,0.16806722689075632,0.23809523809523808,2,0.38288288288288286,0.40816326530612246,45.0,317.7999999999998,409.0,0.0,0.16806722689075632,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,cDC2,0.021,Intermediate,42,0.47619047619047616,0.23809523809523808,0.3174603174603175,2,0.725,0.47619047619047616,20.0,200.0,257.0,0.023809523809523808,0.23809523809523808,1,0.09090909090909091,1,0.09090909090909091
D11,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,7.0,41.199999999999996,45.0,0.0,0.0,0,0.0,0,0.0
