metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,38,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
1,92,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
2,1,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
3,150,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
6,98,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
7,2,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
8,7,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
10,107,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
12,5,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
14,1,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
15,48,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
16,10,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
17,18,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
18,1,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
19,161,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
20,1,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
24,39,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
25,17,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
26,82,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
27,201,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
28,2,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
30,13,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
31,475,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
32,3,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
35,8,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
36,96,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
38,22,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
39,302,D11,GARQ,0,diagnostic_variant_reposition_interval,0.02,40,28,2000
