metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,3,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
1,4,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
2,7,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
3,4,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
5,7,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
6,123,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
8,41,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
9,195,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
10,2,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
11,25,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
12,1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
13,2,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
15,26,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
16,5,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
17,111,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
19,6,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
20,36,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
21,249,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
22,117,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
23,4,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
24,489,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
25,28,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
26,153,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
27,1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
28,29,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
29,1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
30,74,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
31,1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
33,35,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
34,3,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
35,2,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
37,150,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
38,40,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
39,26,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,40,34,2000
