dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,B1 B,0.0355,Intermediate,71,0.42857142857142855,0.04225352112676056,0.07692307692307691,2,0.6666666666666666,0.42857142857142855,65.5,169.84999999999997,182.0,0.014084507042253521,0.04225352112676056,1,0.1,1,0.1
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,CD14+ Mono,0.054,Intermediate,108,0.5934065934065934,1.0,0.7448275862068965,1,0.5934065934065934,0.5934065934065934,182.0,182.0,182.0,0.0,1.0,1,1.0,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,CD16+ Mono,0.0105,Intermediate,21,1.0,0.047619047619047616,0.0909090909090909,1,1.0,1.0,6.0,164.39999999999998,182.0,0.047619047619047616,0.047619047619047616,1,0.3333333333333333,1,0.3333333333333333
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,CD4+ T activated,0.076,Intermediate,152,0.4166666666666667,0.03289473684210526,0.06097560975609756,1,0.4166666666666667,0.4166666666666667,62.0,230.59999999999985,323.0,0.0,0.03289473684210526,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,CD4+ T naive,0.03,Intermediate,60,0.5,0.03333333333333333,0.0625,1,0.5,0.5,122.0,230.59999999999985,323.0,0.0,0.03333333333333333,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,CD8+ T,0.4025,Common,805,0.7314390467461045,0.991304347826087,0.8417721518987342,13,0.6794939495143711,0.7314390467461045,35.5,224.0,323.0,0.0012422360248447205,0.991304347826087,10,0.625,7,0.4375
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,Erythroblast,0.0225,Intermediate,45,0.0,0.0,0.0,0,,,228.0,228.0,228.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,G/M prog,0.007,Rare,14,1.0,0.07142857142857142,0.13333333333333333,1,1.0,1.0,6.0,164.39999999999998,182.0,0.07142857142857142,0.07142857142857142,1,0.3333333333333333,1,0.3333333333333333
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,HSC,0.0075,Rare,15,0.75,0.2,0.31578947368421056,3,0.8333333333333334,0.75,14.5,174.5,182.0,0.13333333333333333,0.2,2,0.3333333333333333,2,0.3333333333333333
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,Lymph prog,0.034,Intermediate,68,0.37209302325581395,0.47058823529411764,0.4155844155844156,3,0.33245498462889767,0.37209302325581395,62.0,168.5,182.0,0.0,0.47058823529411764,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,MK/E prog,0.0165,Intermediate,33,0.575,0.696969696969697,0.6301369863013698,2,0.5455840455840456,0.575,13.0,187.79999999999995,228.0,0.0,0.696969696969697,1,0.2,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,75.0,257.0,323.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,Naive CD20+ B,0.0825,Intermediate,165,0.6082949308755761,0.8,0.6910994764397906,2,0.5516129032258065,0.6082949308755761,65.5,147.25,155.0,0.0,0.8,1,0.16666666666666666,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,Normoblast,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,228.0,228.0,228.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,113.5,182.0,191.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,Proerythroblast,0.0805,Intermediate,161,0.6754385964912281,0.9565217391304348,0.7917737789203085,1,0.6754385964912281,0.6754385964912281,69.0,212.1,228.0,0.0,0.9565217391304348,1,0.3333333333333333,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,Transitional B,0.0595,Intermediate,119,0.5905511811023622,0.6302521008403361,0.6097560975609756,2,0.46505376344086025,0.5905511811023622,62.0,145.7,155.0,0.0,0.6302521008403361,1,0.14285714285714285,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,cDC2,0.021,Intermediate,42,0.0,0.0,0.0,0,,,6.0,145.99999999999991,182.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_reposition_interval,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,92.5,173.04999999999998,182.0,0.0,0.0,0,0.0,0,0.0
