training_step,epoch,phase,batch_cells,assignment_nonempty_anchor_count,usage_sum,usage_min,usage_median,usage_max,usage_entropy_nats,usage_perplexity,usage_gini,manual_reposition_enabled,reposition_interval,reposition_due,local_branch_condition,local_branch_executed,beta_s_min,beta_s_median,beta_s_max,beta_l_min,beta_l_median,beta_l_max,manual_displacement_min,manual_displacement_median,manual_displacement_max,manual_displacement_anchor_count,anchor_nan_count,anchor_inf_count
1,1,quantized_training,256,27,0.10000000149011612,0.0,0.0007812500116415322,0.02070312574505806,2.676980495452881,14.541120529174805,0.7115234732627869,True,1,True,False,False,1.0828148469940396e-36,0.04389302060008049,0.9990005493164062,,,,0.0,0.3656095266342163,9.29501724243164,37,0,0
2,1,quantized_training,256,19,0.1899999976158142,0.0,0.0027343749534338713,0.02070312574505806,3.151087760925293,23.361461639404297,0.561019778251648,True,1,True,False,False,1.0828148469940396e-36,1.2994290955248289e-05,0.9990005493164062,,,,0.0,0.00011157248809468001,9.364412307739258,29,0,0
3,1,quantized_training,256,19,0.2709999978542328,0.0003164062218274921,0.0028476561419665813,0.036992188543081284,3.041581630706787,20.93833351135254,0.6026802659034729,True,1,True,False,False,0.0,8.131620234053116e-06,0.28178104758262634,,,,0.0,9.620680066291243e-05,2.538048028945923,29,0,0
4,1,quantized_training,256,22,0.34389999508857727,0.0002847655850928277,0.0031324217561632395,0.053996093571186066,2.9506263732910156,19.117923736572266,0.637829601764679,True,1,True,False,False,0.0,2.366440867263009e-06,0.3197990655899048,,,,0.0,2.1807783923577517e-05,2.682353973388672,27,0,0
5,1,quantized_training,256,21,0.40950995683670044,0.0005410545854829252,0.003075468586757779,0.07242460548877716,2.8691463470458984,17.62196922302246,0.6636103391647339,True,1,True,False,False,0.0,1.8115775901605957e-06,0.11472488194704056,,,,0.0,1.3214342288847547e-05,0.9721042513847351,27,0,0
6,1,quantized_training,256,20,0.4685589671134949,0.0004869491094723344,0.002767921658232808,0.08393213897943497,2.8317062854766846,16.97439956665039,0.6796438097953796,True,1,True,False,False,0.0,6.795291938033188e-06,0.1424454152584076,,,,0.0,5.875826900592074e-05,1.0892387628555298,25,0,0
7,1,quantized_training,256,20,0.5217030644416809,0.0006227823323570192,0.002698723692446947,0.09311705082654953,2.819296360015869,16.765050888061523,0.6826092004776001,True,1,True,False,False,0.0,8.187857929442544e-06,0.08273360878229141,,,,0.0,0.00010476579336682335,0.7966225147247314,24,0,0
8,2,quantized_training,256,21,0.5695327520370483,0.0005605040933005512,0.0025819288566708565,0.10021159797906876,2.8028221130371094,16.491121292114258,0.6891752481460571,True,1,True,False,False,0.0,2.641251376189757e-05,0.10613787919282913,,,,0.0,0.00026632039225660264,0.9244576096534729,23,0,0
9,2,quantized_training,256,21,0.6125794649124146,0.0005044536665081978,0.002371651353314519,0.10308105498552322,2.7892889976501465,16.269447326660156,0.6951426863670349,True,1,True,False,False,0.0,4.0332251955987886e-06,0.13281282782554626,,,,0.0,3.0449589758063667e-05,1.096717357635498,23,0,0
10,2,quantized_training,256,23,0.651321530342102,0.0004540082882158458,0.0025251111947000027,0.1044916957616806,2.775869369506836,16.05257797241211,0.7003680467605591,True,1,True,False,False,0.0,4.6342094606188766e-07,0.16250714659690857,,,,0.0,3.2831899261509534e-06,1.3625805377960205,23,0,0
11,2,quantized_training,256,18,0.6861892938613892,0.00040860744775272906,0.0022726000752300024,0.1073237732052803,2.7460274696350098,15.58061408996582,0.7095078229904175,True,1,True,False,False,0.0,1.9922108549508266e-06,0.19486857950687408,,,,0.0,1.8047114281216636e-05,1.4588621854782104,22,0,0
12,2,quantized_training,256,24,0.717570424079895,0.000490328879095614,0.0033438096288591623,0.11426731199026108,2.754038095474243,15.705925941467285,0.7065140008926392,True,1,True,False,False,0.0,3.3129563803413475e-07,0.14053264260292053,,,,0.0,3.146734798065154e-06,1.1549091339111328,22,0,0
13,2,quantized_training,256,22,0.7458133101463318,0.0004412959679029882,0.0036903470754623413,0.11846558004617691,2.757528305053711,15.760839462280273,0.7055841684341431,True,1,True,False,False,0.0,3.087205300289497e-07,0.17098422348499298,,,,0.0,2.919356575148413e-06,1.4523944854736328,21,0,0
14,2,quantized_training,256,20,0.771232008934021,0.0004964579711668193,0.003372711595147848,0.12497840076684952,2.759439468383789,15.790989875793457,0.7054341435432434,True,1,True,False,False,0.0,4.216661464440108e-10,0.13712915778160095,,,,0.0,0.0,1.0546220541000366,20,0,0
15,3,quantized_training,256,23,0.7941087484359741,0.0004468121624086052,0.003035440342500806,0.12771493196487427,2.748626708984375,15.62116527557373,0.7082554697990417,True,1,True,False,False,0.0,3.6511396128702245e-09,0.1672528237104416,,,,0.0,8.535712581192456e-09,1.5524343252182007,22,0,0
16,3,quantized_training,256,22,0.8146978616714478,0.00040213094325736165,0.003997486084699631,0.13056844472885132,2.741790533065796,15.514739990234375,0.7110090255737305,True,1,True,False,False,0.0,2.5476680320934975e-08,0.19998283684253693,,,,0.0,1.7572159549672506e-07,1.6514276266098022,22,0,0
17,3,quantized_training,256,28,0.8332280516624451,0.0005871112225577235,0.004305786918848753,0.13235534727573395,2.7441515922546387,15.551414489746094,0.7094920873641968,True,1,True,False,False,0.0,3.0683189322644466e-08,0.09542211890220642,,,,0.0,4.157038517860201e-07,0.8470534086227417,22,0,0
18,3,quantized_training,256,24,0.849905252456665,0.0005284000653773546,0.0038752080872654915,0.1308385580778122,2.744194746017456,15.552084922790527,0.7097069025039673,True,1,True,False,False,0.0,1.730479084471881e-07,0.12068153917789459,,,,0.0,1.3658423085871618e-06,0.9002357721328735,22,0,0
