metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,16,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
1,29,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
2,3,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
3,8,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
4,2,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
5,10,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
6,6,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
7,2,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
8,39,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
9,34,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
10,12,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
11,6,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
12,136,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
13,11,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
14,3,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
15,9,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
16,96,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
17,17,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
18,38,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
19,104,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
20,42,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
21,20,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
22,186,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
23,4,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
24,4,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
25,8,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
26,8,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
27,12,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
28,23,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
29,374,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
30,16,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
31,209,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
32,7,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
33,119,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
34,6,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
35,12,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
36,265,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
37,21,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
38,49,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
39,34,D17,GARQ,0,instrumented_legacy,0.02,40,40,2000
