training_step,epoch,phase,batch_cells,assignment_nonempty_anchor_count,usage_sum,usage_min,usage_median,usage_max,usage_entropy_nats,usage_perplexity,usage_gini,manual_reposition_enabled,reposition_interval,reposition_due,local_branch_condition,local_branch_executed,beta_s_min,beta_s_median,beta_s_max,beta_l_min,beta_l_median,beta_l_max,manual_displacement_min,manual_displacement_median,manual_displacement_max,manual_displacement_anchor_count,anchor_nan_count,anchor_inf_count
1,1,quantized_training,256,27,0.10000000149011612,0.0,0.0007812500116415322,0.02890625037252903,2.5403425693511963,12.684016227722168,0.747851550579071,True,1,True,False,False,0.0,0.04389302060008049,0.9990005493164062,,,,0.0,0.33543121814727783,9.650049209594727,36,0,0
2,1,quantized_training,256,18,0.1899999976158142,0.0,0.001953125,0.026015624403953552,3.0550878047943115,21.22304916381836,0.5999897122383118,True,1,True,False,False,0.0,0.00021637437748722732,0.9990005493164062,,,,0.0,0.002187230158597231,10.328975677490234,29,0,0
3,1,quantized_training,256,19,0.2709999978542328,0.0006328124436549842,0.0021875000093132257,0.04902343824505806,2.962296485900879,19.34234046936035,0.630691409111023,True,1,True,False,False,0.0,0.00012328641605563462,0.07948000729084015,,,,0.0,0.0009808676550164819,0.6571848392486572,28,0,0
4,1,quantized_training,256,20,0.34389999508857727,0.0005695311701856554,0.002198828151449561,0.06833984702825546,2.867377758026123,17.590829849243164,0.6608546376228333,True,1,True,False,False,0.0,3.1074447178980336e-05,0.10237377136945724,,,,0.0,0.0002372796443523839,0.9287109971046448,27,0,0
5,1,quantized_training,256,19,0.40950995683670044,0.0005125780589878559,0.0027601951733231544,0.09002148360013962,2.7792539596557617,16.10700035095215,0.6888508796691895,True,1,True,False,False,0.0,1.0506662874831818e-05,0.12856608629226685,,,,0.0,0.00011345021630404517,0.9650530815124512,27,0,0
6,1,quantized_training,256,20,0.4685589671134949,0.000691980414558202,0.002793550491333008,0.10875371098518372,2.721426486968994,15.20199203491211,0.7061148881912231,True,1,True,False,False,0.0,6.929303708602674e-06,0.0627296194434166,,,,0.0,8.249267557403073e-05,0.6143820881843567,25,0,0
7,1,quantized_training,256,17,0.5217030644416809,0.0006227823323570192,0.0026727188378572464,0.12444083392620087,2.6476800441741943,14.121240615844727,0.7270668148994446,True,1,True,False,False,0.0,2.048342503258027e-05,0.08273360878229141,,,,0.0,0.0001989332085940987,0.772952139377594,24,0,0
8,2,quantized_training,256,21,0.5695327520370483,0.0005605040933005512,0.0024665244854986668,0.13504362106323242,2.6134443283081055,13.645971298217773,0.7364220023155212,True,1,True,False,False,0.0,2.8707447199849412e-05,0.10613787919282913,,,,0.0,0.00029127433663234115,0.9250550270080566,26,0,0
9,2,quantized_training,256,21,0.6125794649124146,0.0005044536665081978,0.0031341544818133116,0.14419551193714142,2.594403028488159,13.388591766357422,0.7423288226127625,True,1,True,False,False,0.0,1.1204578242995922e-07,0.13281282782554626,,,,0.0,1.410113668498525e-06,1.11558198928833,25,0,0
10,2,quantized_training,256,21,0.651321530342102,0.0004540082882158458,0.003601989010348916,0.15360407531261444,2.564300060272217,12.991561889648438,0.7501586079597473,True,1,True,False,False,0.0,3.133131087906804e-07,0.16250714659690857,,,,0.0,2.369320782236173e-06,1.3359862565994263,25,0,0
11,2,quantized_training,256,25,0.6861893534660339,0.0006810124032199383,0.0032417899928987026,0.16129054129123688,2.5696966648101807,13.061861991882324,0.7463107705116272,True,1,True,False,False,0.0,1.4006745914230123e-06,0.06554295867681503,,,,0.0,1.0181435754930135e-05,0.5479155778884888,25,0,0
12,2,quantized_training,256,23,0.717570424079895,0.0006129111279733479,0.0038137000519782305,0.16547398269176483,2.587874174118042,13.301465034484863,0.7424373626708984,True,1,True,False,False,0.0,1.5994366719951358e-07,0.08606569468975067,,,,0.0,1.6196078149732784e-06,0.6804628372192383,24,0,0
13,2,quantized_training,256,25,0.7458133697509766,0.0006619440391659737,0.0036150766536593437,0.17470782995224,2.5972888469696045,13.427285194396973,0.7409914135932922,True,1,True,False,False,0.0,2.2825078360710904e-07,0.07073774188756943,,,,0.0,1.5036822560432483e-06,0.6557489037513733,24,0,0
14,2,quantized_training,256,28,0.771232008934021,0.0005957496468909085,0.003995256498456001,0.17989328503608704,2.624361276626587,13.795760154724121,0.7331684827804565,True,1,True,False,False,0.0,1.6329538610193595e-08,0.0921812653541565,,,,0.0,1.256998416465649e-07,0.7821286916732788,23,0,0
15,3,quantized_training,256,26,0.7941087484359741,0.0005361746880225837,0.003986355848610401,0.18651331961154938,2.630673408508301,13.883116722106934,0.7321023941040039,True,1,True,False,False,0.0,4.309855139439378e-09,0.11698625981807709,,,,0.0,1.3701476397898205e-08,0.9852559566497803,22,0,0
16,3,quantized_training,256,28,0.8146979212760925,0.000482557195937261,0.004626777954399586,0.18739323318004608,2.640547752380371,14.020881652832031,0.7310320734977722,True,1,True,False,False,0.0,6.199944113660649e-09,0.14496994018554688,,,,0.0,2.983691871349947e-08,1.1404238939285278,22,0,0
17,3,quantized_training,256,24,0.8332281112670898,0.0004722417506854981,0.005199967417865992,0.18506015837192535,2.6522743701934814,14.186266899108887,0.7276543378829956,True,1,True,False,False,0.0,2.98837316003997e-10,0.1510768085718155,,,,0.0,0.0,1.179354190826416,20,0,0
18,3,quantized_training,256,28,0.849905252456665,0.0005777060287073255,0.005273683927953243,0.18960101902484894,2.669361114501953,14.430746078491211,0.7217416167259216,True,1,True,False,False,0.0,2.0818799462141158e-10,0.09908038377761841,,,,0.0,0.0,0.8906039595603943,20,0,0
19,3,quantized_training,256,27,0.8649147152900696,0.0005199353909119964,0.0052207098342478275,0.18704716861248016,2.670659065246582,14.449488639831543,0.7222115993499756,True,1,True,False,False,0.0,7.871557294869547e-10,0.12483758479356766,,,,0.0,1.862645149230957e-09,0.9515790939331055,21,0,0
20,3,quantized_training,256,28,0.8784232139587402,0.0006606703973375261,0.004698638804256916,0.19021743535995483,2.689296245574951,14.721311569213867,0.716185986995697,True,1,True,False,False,0.0,2.8134594654005696e-10,0.07109903544187546,,,,0.0,0.0,0.5914759635925293,20,0,0
21,3,quantized_training,256,32,0.8905808329582214,0.0009337873780168593,0.005784978158771992,0.1891644299030304,2.7211363315582275,15.197582244873047,0.7054237127304077,True,1,True,False,False,0.0,2.336245780165669e-11,0.023845743387937546,,,,0.0,0.0,0.2342822551727295,18,0,0
22,4,quantized_training,256,29,0.9015227556228638,0.0008404086111113429,0.005898375529795885,0.19173236191272736,2.7181825637817383,15.152756690979004,0.7063635587692261,True,1,True,False,False,0.0,1.268545945370958e-11,0.03464387357234955,,,,0.0,0.0,0.32655733823776245,16,0,0
23,4,quantized_training,256,31,0.9113704562187195,0.0007563677500002086,0.006209269631654024,0.19209037721157074,2.728261709213257,15.306257247924805,0.7029979228973389,True,1,True,False,False,0.0,7.122850052831975e-12,0.04848644882440567,,,,0.0,0.0,0.42089539766311646,17,0,0
24,4,quantized_training,256,28,0.9202333688735962,0.0006807309691794217,0.006959218997508287,0.18928758800029755,2.742259979248047,15.522025108337402,0.6995822787284851,True,1,True,False,False,0.0,3.96837998659777e-13,0.06561679393053055,,,,0.0,0.0,0.5641091465950012,16,0,0
25,4,quantized_training,256,25,0.9282100200653076,0.0006126578664407134,0.007228770758956671,0.19223381578922272,2.7457683086395264,15.576577186584473,0.6973374485969543,True,1,True,False,False,0.0,1.475793093416375e-13,0.08615290373563766,,,,0.0,0.0,0.7842373251914978,14,0,0
26,4,quantized_training,256,32,0.93538898229599,0.0005513920914381742,0.007266610395163298,0.1921510547399521,2.7524044513702393,15.680289268493652,0.6950411200523376,True,1,True,False,False,0.0,1.1557303779361622e-13,0.11007775366306305,,,,0.0,0.0,0.8886791467666626,14,0,0
27,4,quantized_training,256,34,0.9418500661849976,0.0008868778822943568,0.00730061624199152,0.193248450756073,2.774956703186035,16.037931442260742,0.6883736848831177,True,1,True,False,False,0.0,4.27236515276549e-15,0.028767429292201996,,,,0.0,0.0,0.2381523698568344,14,0,0
28,4,quantized_training,256,31,0.9476650357246399,0.0007981900707818568,0.008190642111003399,0.18876734375953674,2.796477794647217,16.38682746887207,0.681119978427887,True,1,True,False,False,0.0,1.075982882402704e-15,0.04101733863353729,,,,0.0,0.0,0.3305598795413971,13,0,0
29,5,quantized_training,256,31,0.9528985023498535,0.0007183710695244372,0.008755872026085854,0.18981246650218964,2.8108296394348145,16.62370491027832,0.6759892702102661,True,1,True,False,False,0.0,1.8434388312679165e-16,0.05644525587558746,,,,0.0,0.0,0.46776556968688965,14,0,0
30,5,quantized_training,256,31,0.9576085805892944,0.0007658199756406248,0.008661534637212753,0.18372184038162231,2.8268496990203857,16.892162322998047,0.6724908351898193,True,1,True,False,False,0.0,4.1295718223566575e-17,0.04668745398521423,,,,0.0,0.0,0.42326855659484863,14,0,0
31,5,quantized_training,256,34,0.961847722530365,0.000689237960614264,0.008576630614697933,0.18488089740276337,2.827392101287842,16.901325225830078,0.6709244847297668,True,1,True,False,False,0.0,7.890424908817598e-17,0.06342153251171112,,,,0.0,0.0,0.5676501393318176,14,0,0
32,5,quantized_training,256,33,0.965662956237793,0.001010939129628241,0.009125921875238419,0.1827990561723709,2.838502883911133,17.090160369873047,0.6675199866294861,True,1,True,False,False,0.0,2.962054364213587e-17,0.017513969913125038,,,,0.0,0.0,0.14526814222335815,13,0,0
33,5,quantized_training,256,32,0.9690966606140137,0.0009098451700992882,0.008994579315185547,0.18014414608478546,2.8556015491485596,17.3848934173584,0.6600388288497925,True,1,True,False,False,0.0,7.240328445288902e-17,0.02624235302209854,,,,0.0,0.0,0.23094433546066284,13,0,0
34,5,quantized_training,256,30,0.9721868634223938,0.0008188606589101255,0.00929710641503334,0.18205159902572632,2.855168342590332,17.377363204956055,0.6610655188560486,True,1,True,False,False,0.0,2.741470110264071e-17,0.0377623587846756,,,,0.0,0.0,0.31307634711265564,14,0,0
35,5,quantized_training,256,31,0.9749681949615479,0.0007369745871983469,0.009383544325828552,0.17790892720222473,2.8699049949645996,17.635343551635742,0.6576555967330933,True,1,True,False,False,0.0,1.1430807230509064e-17,0.05239740014076233,,,,0.0,0.0,0.42988890409469604,14,0,0
