training_step,epoch,phase,batch_cells,assignment_nonempty_anchor_count,usage_sum,usage_min,usage_median,usage_max,usage_entropy_nats,usage_perplexity,usage_gini,manual_reposition_enabled,reposition_interval,reposition_due,local_branch_condition,local_branch_executed,beta_s_min,beta_s_median,beta_s_max,beta_l_min,beta_l_median,beta_l_max,manual_displacement_min,manual_displacement_median,manual_displacement_max,manual_displacement_anchor_count,anchor_nan_count,anchor_inf_count
1,1,quantized_training,256,27,0.10000000149011612,0.0,0.0007812500116415322,0.02070312574505806,2.676980495452881,14.541120529174805,0.7115234732627869,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
2,1,quantized_training,256,29,0.1899999976158142,0.0,0.0015234374441206455,0.039374999701976776,2.7649827003479004,15.878765106201172,0.6900082230567932,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
3,1,quantized_training,256,23,0.2709999978542328,0.0,0.0014843749813735485,0.06043750047683716,2.72835636138916,15.307706832885742,0.7039732336997986,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
4,1,quantized_training,256,29,0.34390002489089966,0.0,0.0021171874832361937,0.0762687474489212,2.7172274589538574,15.138293266296387,0.7100182175636292,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
5,1,quantized_training,256,24,0.4095100164413452,0.0,0.0019160545198246837,0.09364186972379684,2.663508176803589,14.34653091430664,0.7235442399978638,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
6,1,quantized_training,256,25,0.46855899691581726,0.0,0.002105546882376075,0.1077151820063591,2.646604061126709,14.106054306030273,0.728295624256134,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
7,1,quantized_training,256,26,0.5217031240463257,0.0,0.003066867124289274,0.12038116157054901,2.639817237854004,14.010643005371094,0.7308147549629211,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
8,2,quantized_training,256,29,0.5695327520370483,0.0,0.003764451714232564,0.1306086629629135,2.6516835689544678,14.177887916564941,0.7281169891357422,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
9,2,quantized_training,256,26,0.6125794649124146,0.0,0.003778631566092372,0.14450092613697052,2.651848793029785,14.180231094360352,0.7273175120353699,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
10,2,quantized_training,256,23,0.651321530342102,0.0,0.003791393479332328,0.1546601951122284,2.6477956771850586,14.122873306274414,0.7295222878456116,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
11,2,quantized_training,256,24,0.6861892938613892,0.0,0.003802879247814417,0.16458480060100555,2.6452128887176514,14.086443901062012,0.7304993867874146,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
12,2,quantized_training,256,25,0.7175703644752502,0.0,0.003936754073947668,0.17468881607055664,2.637180805206299,13.973753929138184,0.7330291271209717,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
13,2,quantized_training,256,27,0.7458133697509766,0.0,0.0043243286199867725,0.17831368744373322,2.6686549186706543,14.420559883117676,0.7253361344337463,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
14,2,quantized_training,256,29,0.771232008934021,0.0,0.005055274814367294,0.18352919816970825,2.696275234222412,14.824411392211914,0.7171617150306702,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
15,3,quantized_training,256,28,0.7941088080406189,0.0,0.004549747332930565,0.1893950253725052,2.7126502990722656,15.069161415100098,0.7123147249221802,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
16,3,quantized_training,256,25,0.8146978616714478,0.0,0.004780994728207588,0.19115863740444183,2.722531318664551,15.218796730041504,0.71019446849823,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
17,3,quantized_training,256,25,0.8332280516624451,0.0,0.005428723059594631,0.19157402217388153,2.7428083419799805,15.530539512634277,0.7043541669845581,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
18,3,quantized_training,256,27,0.8499051928520203,0.0,0.007620225660502911,0.1942916065454483,2.752713680267334,15.685138702392578,0.7014741897583008,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
19,3,quantized_training,256,25,0.8649147152900696,0.0,0.008075457066297531,0.19947181642055511,2.754540205001831,15.713813781738281,0.7001538872718811,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
20,3,quantized_training,256,23,0.8784232139587402,0.0,0.007658536080271006,0.20296213030815125,2.7453067302703857,15.569389343261719,0.7035501003265381,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
21,3,quantized_training,256,23,0.8905808329582214,0.0,0.007673932705074549,0.2104002833366394,2.7297065258026123,15.328388214111328,0.7076433300971985,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
22,4,quantized_training,256,26,0.9015227556228638,0.0,0.007683468051254749,0.20889149606227875,2.7439489364624023,15.548262596130371,0.7038411498069763,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
23,4,quantized_training,256,25,0.9113703966140747,0.0,0.007546728476881981,0.20987734198570251,2.7474560737609863,15.602888107299805,0.7035799026489258,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
24,4,quantized_training,256,27,0.9202333688735962,0.0,0.007182680536061525,0.20959272980690002,2.743685722351074,15.544171333312988,0.705306351184845,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
25,4,quantized_training,256,27,0.9282100796699524,0.0,0.0068550375290215015,0.2097272127866745,2.7415003776550293,15.510238647460938,0.706291139125824,False,1,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
