training_step,epoch,phase,batch_cells,assignment_nonempty_anchor_count,usage_sum,usage_min,usage_median,usage_max,usage_entropy_nats,usage_perplexity,usage_gini,manual_reposition_enabled,reposition_interval,reposition_due,local_branch_condition,local_branch_executed,beta_s_min,beta_s_median,beta_s_max,beta_l_min,beta_l_median,beta_l_max,manual_displacement_min,manual_displacement_median,manual_displacement_max,manual_displacement_anchor_count,anchor_nan_count,anchor_inf_count
1,1,quantized_training,256,29,0.10000000149011612,0.0,0.0007812500116415322,0.010546875186264515,2.88046932220459,17.822635650634766,0.6623047590255737,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
2,1,quantized_training,256,30,0.1899999976158142,0.0,0.0018749999580904841,0.023164063692092896,2.9503626823425293,19.112884521484375,0.6429071426391602,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
3,1,quantized_training,256,29,0.2710000276565552,0.0,0.0026562500279396772,0.031394533812999725,2.9630126953125,19.356197357177734,0.6382105350494385,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
4,1,quantized_training,256,30,0.34389999508857727,0.0,0.0033863279968500137,0.0402277335524559,2.9381868839263916,18.881580352783203,0.6470845341682434,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
5,1,quantized_training,256,27,0.4095100164413452,0.0,0.004203398246318102,0.04831433668732643,2.943824291229248,18.988325119018555,0.6445309519767761,True,5,True,False,False,0.0,3.1267536115819894e-08,0.9990005493164062,,,,0.0,4.223915084367036e-07,8.972350120544434,23,0,0
6,1,quantized_training,256,18,0.4685589671134949,0.0006363280699588358,0.004411828238517046,0.05324852839112282,3.106775999069214,22.348875045776367,0.583432674407959,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
7,1,quantized_training,256,23,0.5217030644416809,0.0005726952222175896,0.005774037446826696,0.05925179645419121,3.076996088027954,21.693138122558594,0.5951150059700012,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
8,2,quantized_training,256,19,0.5695328116416931,0.0005154256941750646,0.0051966337487101555,0.06776562333106995,3.010733127593994,20.30228042602539,0.6207488775253296,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
9,2,quantized_training,256,21,0.6125794649124146,0.00046388310147449374,0.00545822037383914,0.08872343599796295,2.924565553665161,18.62613296508789,0.6494988799095154,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
10,2,quantized_training,256,19,0.6513214707374573,0.00041749476804398,0.005911511834710836,0.11071046441793442,2.8415207862854004,17.141813278198242,0.6727043986320496,True,5,True,False,False,0.0,5.551483751864428e-12,0.18806283175945282,,,,0.0,0.0,1.5446455478668213,19,0,0
11,2,quantized_training,256,21,0.6861892938613892,0.0004405562358442694,0.006001121364533901,0.13128003478050232,2.81442928314209,16.683650970458984,0.6781813502311707,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
12,2,quantized_training,256,21,0.717570424079895,0.0005934056825935841,0.005401009228080511,0.14158953726291656,2.7853446006774902,16.205400466918945,0.688038170337677,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
