metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,1,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
1,16,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
2,10,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
3,2,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
4,407,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
5,4,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
6,432,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
7,2,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
8,34,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
9,6,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
10,202,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
11,15,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
12,8,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
13,17,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
14,27,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
15,23,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
16,18,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
18,5,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
19,11,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
20,5,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
21,2,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
22,9,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
23,8,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
24,8,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
25,106,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
26,24,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
27,160,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
28,189,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
29,5,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
30,5,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
31,13,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
32,161,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
34,18,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
35,13,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
36,5,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
37,4,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
38,3,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
39,22,D5,GARQ,1,instrumented_legacy,0.02,40,38,2000
