dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,3,instrumented_legacy,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,53.0,128.2,135.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,CD4 memory,0.0865,Intermediate,173,0.5699481865284974,0.6358381502890174,0.6010928961748635,4,0.48547708257664096,0.5699481865284974,53.0,126.5,135.0,0.0,0.6358381502890174,1,0.09090909090909091,1,0.09090909090909091
D5,GARQ,3,instrumented_legacy,0.02,CD4 naive I,0.0735,Intermediate,147,0.5384615384615384,0.5714285714285714,0.5544554455445544,6,0.5823534990516123,0.5384615384615384,28.0,123.09999999999998,135.0,0.0,0.5714285714285714,4,0.26666666666666666,1,0.06666666666666667
D5,GARQ,3,instrumented_legacy,0.02,CD4 naive II,0.018,Intermediate,36,0.5,0.05555555555555555,0.09999999999999999,1,0.5,0.5,28.0,84.5,94.0,0.0,0.05555555555555555,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.0,0.0,0.0,0,,,93.0,144.75,150.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,CD56dim CD16bright NK,0.206,Common,412,0.7766798418972332,0.9538834951456311,0.8562091503267973,9,0.7770786990380195,0.7766798418972332,26.0,137.89999999999998,150.0,0.0024271844660194173,0.9538834951456311,9,0.75,5,0.4166666666666667
D5,GARQ,3,instrumented_legacy,0.02,CD8 effector,0.06,Intermediate,120,0.4153846153846154,0.45,0.43200000000000005,4,0.417288961038961,0.4153846153846154,50.0,140.99999999999997,150.0,0.0,0.45,1,0.07692307692307693,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,CD8 memory,0.038,Intermediate,76,0.25547445255474455,0.4605263157894737,0.3286384976525822,2,0.3759259259259259,0.25547445255474455,43.0,141.75,150.0,0.0,0.4605263157894737,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,CD8 naive,0.0385,Intermediate,77,0.44155844155844154,0.44155844155844154,0.44155844155844154,2,0.47,0.44155844155844154,28.0,110.39999999999995,135.0,0.0,0.44155844155844154,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Classical monocytes,0.1035,Common,207,0.47368421052631576,1.0,0.6428571428571429,3,0.4902092430053984,0.47368421052631576,136.0,206.2,214.0,0.0,1.0,1,0.3333333333333333,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Erythroid ,0.005,Rare,10,1.0,0.5,0.6666666666666666,1,1.0,1.0,9.0,17.099999999999998,18.0,0.5,0.5,1,0.3333333333333333,1,0.3333333333333333
D5,GARQ,3,instrumented_legacy,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.4491525423728814,0.5888888888888889,0.5096153846153846,1,0.4491525423728814,0.4491525423728814,53.0,129.89999999999998,135.0,0.0,0.5888888888888889,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Memory B,0.0215,Intermediate,43,0.0,0.0,0.0,0,,,204.0,204.0,204.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,88.0,145.5,150.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.0,0.0,0.0,0,,,87.0,198.39999999999998,214.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Naive B,0.057,Intermediate,114,0.5588235294117647,1.0,0.7169811320754718,1,0.5588235294117647,0.5588235294117647,204.0,204.0,204.0,0.0,1.0,1,1.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,136.0,206.2,214.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Non classical monocytes,0.051,Intermediate,102,0.5555555555555556,0.049019607843137254,0.09009009009009009,1,0.5555555555555556,0.5555555555555556,118.0,211.0,214.0,0.0,0.049019607843137254,1,0.14285714285714285,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Plasma cells,0.002,Rare,4,0.5,0.5,0.5,1,0.5,0.5,14.0,184.99999999999997,204.0,0.0,0.5,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Platelet-T cell doublets,0.002,Rare,4,0.5,0.25,0.3333333333333333,1,0.5,0.5,13.5,30.899999999999995,33.0,0.0,0.25,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,136.0,206.2,214.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Platelets,0.003,Rare,6,0.0,0.0,0.0,0,,,44.5,82.75,87.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,79.0,142.9,150.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,Regulatory T cells,0.0075,Rare,15,1.0,0.06666666666666667,0.125,1,1.0,1.0,20.0,81.69999999999997,94.0,0.06666666666666667,0.06666666666666667,1,0.14285714285714285,1,0.14285714285714285
D5,GARQ,3,instrumented_legacy,0.02,T-NK-B cell doublets,0.0265,Intermediate,53,0.9411764705882353,0.3018867924528302,0.4571428571428572,2,0.9666666666666667,0.9411764705882353,51.0,211.5,214.0,0.03773584905660377,0.3018867924528302,2,0.3333333333333333,2,0.3333333333333333
D5,GARQ,3,instrumented_legacy,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,170.0,212.5,214.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,gdT cells,0.04,Intermediate,80,0.0,0.0,0.0,0,,,33.0,142.5,150.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,instrumented_legacy,0.02,plasmacytoid DC,0.0055,Rare,11,0.0,0.0,0.0,0,,,145.5,198.15,204.0,0.0,0.0,0,0.0,0,0.0
