metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
2,51,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
3,236,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
5,169,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
8,18,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
9,125,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
10,84,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
11,75,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
12,271,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
13,1,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
16,38,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
17,1,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
18,22,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
19,7,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
21,16,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
22,3,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
23,14,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
24,14,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
25,211,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
26,3,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
27,5,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
29,124,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
30,3,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
31,80,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
32,2,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
34,98,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
35,1,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
36,231,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
37,73,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
38,23,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
39,1,D5,GARQ,0,diagnostic_variant_no_dynamic_update,0.02,40,30,2000
