metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,11,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
1,1,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
3,13,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
4,5,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
5,55,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
7,1,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
9,5,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
10,105,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
11,3,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
12,96,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
14,9,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
16,387,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
17,26,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
18,14,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
19,2,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
20,195,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
22,71,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
23,1,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
26,67,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
27,104,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
28,342,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
29,2,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
31,1,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
33,3,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
34,210,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
35,2,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
37,1,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
38,182,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
39,86,D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,40,29,2000
