dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,145.5,319.94999999999993,342.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,CD4 memory,0.0865,Intermediate,173,0.3691860465116279,0.7341040462427746,0.49129593810444877,2,0.4342105263157895,0.3691860465116279,75.5,295.79999999999995,342.0,0.0,0.7341040462427746,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,CD4 naive I,0.0735,Intermediate,147,0.6056338028169014,0.2925170068027211,0.39449541284403666,3,0.5757575757575758,0.6056338028169014,40.5,282.59999999999985,342.0,0.0,0.2925170068027211,2,0.2,1,0.1
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,96.0,312.59999999999997,342.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.0,0.0,0.0,0,,,104.0,310.19999999999993,387.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,CD56dim CD16bright NK,0.206,Common,412,0.8074534161490683,0.9466019417475728,0.8715083798882681,7,0.7208489029414583,0.8074534161490683,95.0,300.5999999999998,387.0,0.0,0.9466019417475728,5,0.5,5,0.5
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,CD8 effector,0.06,Intermediate,120,0.0,0.0,0.0,0,,,100.0,366.74999999999994,387.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,CD8 memory,0.038,Intermediate,76,0.0,0.0,0.0,0,,,100.0,305.25,342.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,CD8 naive,0.0385,Intermediate,77,0.0,0.0,0.0,0,,,75.5,305.25,342.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Classical monocytes,0.1035,Common,207,0.5322997416020672,0.9951690821256038,0.6936026936026936,1,0.5322997416020672,0.5322997416020672,227.0,371.0,387.0,0.0,0.9951690821256038,1,0.5,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Erythroid ,0.005,Rare,10,0.0,0.0,0.0,0,,,110.5,200.04999999999998,210.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.24921135646687698,0.8777777777777778,0.38820638820638825,3,0.2732905982905983,0.24921135646687698,78.5,290.5499999999999,342.0,0.0,0.8777777777777778,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Memory B,0.0215,Intermediate,43,0.3076923076923077,0.09302325581395349,0.14285714285714285,1,0.3076923076923077,0.3076923076923077,111.5,200.14999999999998,210.0,0.0,0.09302325581395349,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,104.0,348.59999999999997,387.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,NK-monocyte doublets,0.014,Intermediate,28,1.0,0.03571428571428571,0.0689655172413793,1,1.0,1.0,67.0,378.0,387.0,0.03571428571428571,0.03571428571428571,1,0.2,1,0.2
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Naive B,0.057,Intermediate,114,0.5333333333333333,0.9824561403508771,0.691358024691358,1,0.5333333333333333,0.5333333333333333,111.5,200.14999999999998,210.0,0.0,0.9824561403508771,1,0.5,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,210.0,369.29999999999995,387.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Non classical monocytes,0.051,Intermediate,102,0.9295774647887324,0.6470588235294118,0.7630057803468208,3,0.7628524046434494,0.9295774647887324,67.0,373.49999999999994,387.0,0.00980392156862745,0.6470588235294118,2,0.2857142857142857,2,0.2857142857142857
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Plasma cells,0.002,Rare,4,0.0,0.0,0.0,0,,,13.0,13.0,13.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Platelet-T cell doublets,0.002,Rare,4,0.5,0.25,0.3333333333333333,1,0.5,0.5,342.0,382.5,387.0,0.0,0.25,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,387.0,387.0,387.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Platelets,0.003,Rare,6,1.0,0.16666666666666666,0.2857142857142857,1,1.0,1.0,2.0,348.49999999999994,387.0,0.16666666666666666,0.16666666666666666,1,0.3333333333333333,1,0.3333333333333333
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,95.0,104.85,105.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,3,diagnostic_variant_no_dynamic_update,0.02,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,40.5,280.5,342.0,0.0,0.0,0,0.0,0,0.0
