training_step,epoch,phase,batch_cells,assignment_nonempty_anchor_count,usage_sum,usage_min,usage_median,usage_max,usage_entropy_nats,usage_perplexity,usage_gini,manual_reposition_enabled,reposition_interval,reposition_due,local_branch_condition,local_branch_executed,beta_s_min,beta_s_median,beta_s_max,beta_l_min,beta_l_median,beta_l_max,manual_displacement_min,manual_displacement_median,manual_displacement_max,manual_displacement_anchor_count,anchor_nan_count,anchor_inf_count
1,1,quantized_training,256,32,0.10000000894069672,0.0,0.0011718750465661287,0.014062500558793545,2.9863643646240234,19.81351661682129,0.6253905892372131,True,10,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
2,1,quantized_training,256,33,0.1899999976158142,0.0,0.0021484375465661287,0.025546874850988388,3.0257813930511475,20.610103607177734,0.6145353317260742,True,10,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
3,1,quantized_training,256,28,0.2709999978542328,0.0,0.002824218710884452,0.03861718624830246,2.9982104301452637,20.049623489379883,0.6253862380981445,True,10,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
4,1,quantized_training,256,28,0.34389999508857727,0.0,0.003693359438329935,0.048036716878414154,2.9884090423583984,19.85407066345215,0.6299707889556885,True,10,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
5,1,quantized_training,256,28,0.4095100164413452,0.0,0.004886523354798555,0.05690491944551468,2.9703879356384277,19.499483108520508,0.6360741853713989,True,10,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
6,1,quantized_training,256,26,0.46855902671813965,0.0,0.0052595897577703,0.06488630175590515,2.9312691688537598,18.751415252685547,0.6502968668937683,True,10,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
7,1,quantized_training,256,31,0.5217030644416809,0.0,0.004733630456030369,0.07206954807043076,2.9259557723999023,18.65204429626465,0.6523085832595825,True,10,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
8,2,quantized_training,256,22,0.5695328116416931,0.0,0.005432141944766045,0.07892509549856186,2.8929309844970703,18.046125411987305,0.664615273475647,True,10,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
9,2,quantized_training,256,24,0.6125794649124146,0.0,0.004888927564024925,0.08900133520364761,2.877565860748291,17.770963668823242,0.6701111793518066,True,10,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
10,2,quantized_training,256,26,0.651321530342102,0.0,0.004790659993886948,0.09846057742834091,2.865690231323242,17.56117057800293,0.6742533445358276,True,10,True,False,False,0.0,1.2353866193914875e-11,0.9990005493164062,,,,0.0,0.0,8.74533462524414,20,0,0
