dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,39.0,482.69999999999993,532.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,CD4 memory,0.0865,Intermediate,173,0.30451127819548873,0.9364161849710982,0.4595744680851064,1,0.30451127819548873,0.30451127819548873,37.5,458.04999999999984,532.0,0.0,0.9364161849710982,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,CD4 naive I,0.0735,Intermediate,147,0.5833333333333334,0.14285714285714285,0.22950819672131142,1,0.5833333333333334,0.5833333333333334,39.0,482.69999999999993,532.0,0.0,0.14285714285714285,1,0.3333333333333333,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,39.0,482.69999999999993,532.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,1.0,0.02702702702702703,0.052631578947368425,1,1.0,1.0,138.0,324.74999999999994,348.0,0.02702702702702703,0.02702702702702703,1,0.25,1,0.25
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,CD56dim CD16bright NK,0.206,Common,412,0.8418803418803419,0.9563106796116505,0.8954545454545455,3,0.8360621735154349,0.8418803418803419,138.0,324.74999999999994,348.0,0.0,0.9563106796116505,3,0.75,3,0.75
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,CD8 effector,0.06,Intermediate,120,0.410958904109589,0.75,0.5309734513274337,3,0.42604804521902967,0.410958904109589,61.0,467.5999999999999,532.0,0.0,0.75,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,CD8 memory,0.038,Intermediate,76,0.46511627906976744,0.2631578947368421,0.3361344537815126,2,0.4807692307692308,0.46511627906976744,39.0,476.79999999999984,532.0,0.0,0.2631578947368421,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,CD8 naive,0.0385,Intermediate,77,0.0,0.0,0.0,0,,,39.0,482.69999999999993,532.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Classical monocytes,0.1035,Common,207,0.48470588235294115,0.9951690821256038,0.6518987341772152,1,0.48470588235294115,0.48470588235294115,226.5,405.15,425.0,0.0,0.9951690821256038,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Erythroid ,0.005,Rare,10,1.0,1.0,1.0,1,1.0,1.0,10.0,10.0,10.0,1.0,1.0,1,1.0,1,1.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.6818181818181818,0.16666666666666666,0.26785714285714285,1,0.6818181818181818,0.6818181818181818,107.5,481.14999999999986,532.0,0.0,0.16666666666666666,1,0.25,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Memory B,0.0215,Intermediate,43,0.0,0.0,0.0,0,,,210.0,210.0,210.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,39.0,317.0,348.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.5,0.03571428571428571,0.06666666666666667,1,0.5,0.5,32.5,366.79999999999984,425.0,0.0,0.03571428571428571,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Naive B,0.057,Intermediate,114,0.5428571428571428,1.0,0.7037037037037037,1,0.5428571428571428,0.5428571428571428,210.0,210.0,210.0,0.0,1.0,1,1.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,226.5,405.15,425.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Non classical monocytes,0.051,Intermediate,102,0.8,0.23529411764705882,0.3636363636363636,3,0.9285714285714285,0.8,28.0,360.49999999999983,425.0,0.0196078431372549,0.23529411764705882,3,0.42857142857142855,3,0.42857142857142855
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Plasma cells,0.002,Rare,4,1.0,0.5,0.6666666666666666,1,1.0,1.0,210.0,499.79999999999995,532.0,0.5,0.5,1,0.3333333333333333,1,0.3333333333333333
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Platelet-T cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,29.5,36.25,37.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,425.0,425.0,425.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Platelets,0.003,Rare,6,0.0,0.0,0.0,0,,,425.0,425.0,425.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,270.5,340.25,348.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,285.5,507.34999999999997,532.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,T-NK-B cell doublets,0.0265,Intermediate,53,0.0,0.0,0.0,0,,,317.5,414.25,425.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,425.0,425.0,425.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,gdT cells,0.04,Intermediate,80,0.0,0.0,0.0,0,,,83.0,458.3999999999999,532.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_reposition_interval,0.02,plasmacytoid DC,0.0055,Rare,11,0.0,0.0,0.0,0,,,317.5,414.25,425.0,0.0,0.0,0,0.0,0,0.0
