variant,run,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,33.0,491.8999999999998,572.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,CD4 memory,0.0865,Intermediate,173,0.2619808306709265,0.9479768786127168,0.4105131414267834,5,0.41947000368053,0.2619808306709265,11.0,411.7999999999996,572.0,0.0057803468208092,0.9479768786127168,1,0.1428571428571428,1,0.1428571428571428
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,CD4 naive I,0.0735,Intermediate,147,0.5128205128205128,0.1360544217687075,0.2150537634408602,2,0.5227272727272727,0.5128205128205128,11.0,463.19999999999993,572.0,0.0,0.1360544217687075,1,0.2,0,0.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,28.0,465.19999999999993,572.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.0,0.0,0.0,0,,,83.5,165.5,184.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,CD56dim CD16bright NK,0.206,Common,412,0.8211206896551724,0.924757281553398,0.8698630136986301,9,0.7712240030523226,0.8211206896551724,30.5,143.29999999999995,184.0,0.0558252427184466,0.924757281553398,7,0.5833333333333334,6,0.5
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,CD8 effector,0.06,Intermediate,120,0.4469696969696969,0.4916666666666666,0.4682539682539682,3,0.5031066453084801,0.4469696969696969,44.0,378.0,572.0,0.0,0.4916666666666666,1,0.0909090909090909,0,0.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,CD8 memory,0.038,Intermediate,76,0.0,0.0,0.0,0,,,26.0,410.2999999999997,572.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,CD8 naive,0.0385,Intermediate,77,1.0,0.0129870129870129,0.0256410256410256,1,1.0,1.0,18.5,438.5,572.0,0.0129870129870129,0.0129870129870129,1,0.1666666666666666,1,0.1666666666666666
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,Classical monocytes,0.1035,Common,207,0.4949748743718593,0.9516908212560388,0.6512396694214877,3,0.4149790588814979,0.4949748743718593,83.5,228.89999999999995,246.0,0.0,0.9516908212560388,1,0.25,0,0.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,Erythroid ,0.005,Rare,10,1.0,1.0,1.0,1,1.0,1.0,10.0,10.0,10.0,1.0,1.0,1,1.0,1,1.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.7142857142857143,0.1111111111111111,0.1923076923076923,1,0.7142857142857143,0.7142857142857143,26.0,456.25,572.0,0.0,0.1111111111111111,1,0.1666666666666666,1,0.1666666666666666
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,Memory B,0.0215,Intermediate,43,0.0,0.0,0.0,0,,,95.0,118.4,121.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,76.5,456.5,572.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.0,0.0,0.0,0,,,26.0,214.3499999999999,246.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,Naive B,0.057,Intermediate,114,0.6,1.0,0.7499999999999999,2,0.6392382321236076,0.6,95.0,118.4,121.0,0.0,1.0,1,0.5,1,0.5
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,132.0,234.6,246.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D5_legacy_continuous_smoke,D5,GARQ,0,instrumented_legacy,0.02,Non classical monocytes,0.051,Intermediate,102,0.5925925925925926,0.3137254901960784,0.4102564102564103,2,0.6736842105263158,0.5925925925925926,35.0,200.4,246.0,0.0,0.3137254901960784,1,0.1111111111111111,1,0.1111111111111111
