dataset,seed,implementation_tag,reference,inference_batch_size,cell_order_seed,cell_order,realized_K,wall_time_seconds,peak_gpu_allocated_bytes,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,30.0,515.6499999999997,601.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,CD4 memory,0.0865,Intermediate,173,0.25416036308623297,0.9710982658959537,0.4028776978417266,3,0.3166498296489977,0.25416036308623297,17.5,458.75,601.0,0.0,0.9710982658959537,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,CD4 naive I,0.0735,Intermediate,147,0.5,0.047619047619047616,0.08695652173913042,2,0.5,0.5,17.5,515.0499999999998,601.0,0.0,0.047619047619047616,1,0.25,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,28.0,543.6999999999999,601.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,CD56bright CD16dim NK,0.0185,Intermediate,37,0.0,0.0,0.0,0,,,104.0,176.6,190.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,CD56dim CD16bright NK,0.206,Common,412,0.8293736501079914,0.9320388349514563,0.8777142857142857,9,0.7763222048716272,0.8293736501079914,29.0,153.14999999999995,190.0,0.0412621359223301,0.9320388349514563,8,0.6666666666666666,6,0.5
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,CD8 effector,0.06,Intermediate,120,0.45185185185185184,0.5083333333333333,0.47843137254901963,4,0.5596153846153846,0.45185185185185184,49.5,416.04999999999956,601.0,0.0,0.5083333333333333,2,0.2,1,0.1
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,CD8 memory,0.038,Intermediate,76,0.0,0.0,0.0,0,,,74.0,457.14999999999975,601.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,CD8 naive,0.0385,Intermediate,77,1.0,0.012987012987012988,0.025641025641025647,1,1.0,1.0,28.0,487.19999999999993,601.0,0.012987012987012988,0.012987012987012988,1,0.2,1,0.2
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,Classical monocytes,0.1035,Common,207,0.49746192893401014,0.9468599033816425,0.6522462562396006,2,0.4584449629821681,0.49746192893401014,83.0,241.79999999999995,261.0,0.0,0.9468599033816425,1,0.25,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,Erythroid ,0.005,Rare,10,1.0,0.9,0.9473684210526316,3,1.0,1.0,3.5,113.64999999999995,133.0,0.9,0.9,3,0.75,3,0.75
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,MAIT-NKT cells,0.045,Intermediate,90,0.42857142857142855,0.03333333333333333,0.061855670103092786,1,0.42857142857142855,0.42857142857142855,68.0,526.4499999999998,601.0,0.0,0.03333333333333333,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,Memory B,0.0215,Intermediate,43,0.0,0.0,0.0,0,,,95.0,113.89999999999999,116.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,44.0,457.5999999999997,601.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,NK-monocyte doublets,0.014,Intermediate,28,0.3333333333333333,0.39285714285714285,0.360655737704918,1,0.3333333333333333,0.3333333333333333,23.5,226.79999999999993,261.0,0.0,0.39285714285714285,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,Naive B,0.057,Intermediate,114,0.6,1.0,0.7499999999999999,2,0.6259319664492078,0.6,95.0,113.89999999999999,116.0,0.0,1.0,2,1.0,1,0.5
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,197.0,254.6,261.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,Non classical monocytes,0.051,Intermediate,102,0.9375,0.14705882352941177,0.25423728813559326,1,0.9375,0.9375,32.5,216.19999999999993,261.0,0.0,0.14705882352941177,1,0.125,1,0.125
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,Plasma cells,0.002,Rare,4,0.0,0.0,0.0,0,,,60.5,110.44999999999999,116.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,Platelet-T cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,11.0,111.79999999999998,123.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,133.0,248.2,261.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488,Platelets,0.003,Rare,6,0.0,0.0,0.0,0,,,74.5,127.14999999999999,133.0,0.0,0.0,0,0.0,0,0.0
