dataset,seed,implementation_tag,reference,inference_batch_size,cell_order_seed,cell_order,realized_K,wall_time_seconds,peak_gpu_allocated_bytes,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,B1 B,0.0355,Intermediate,71,0.3529411764705882,0.2535211267605634,0.2950819672131148,6,0.4229717813051146,0.3529411764705882,14.0,214.29999999999995,257.0,0.0,0.2535211267605634,1,0.0666666666666666,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,CD14+ Mono,0.054,Intermediate,108,0.4090909090909091,1.0,0.5806451612903226,3,0.6764259549973836,0.4090909090909091,65.0,182.9,196.0,0.0277777777777777,1.0,2,0.6666666666666666,2,0.6666666666666666
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,CD16+ Mono,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,65.0,182.9,196.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,CD4+ T activated,0.076,Intermediate,152,0.75,0.0197368421052631,0.0384615384615384,1,0.75,0.75,67.0,287.0999999999999,395.0,0.0,0.0197368421052631,1,0.0714285714285714,1,0.0714285714285714
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,86.0,328.5999999999999,395.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,CD8+ T,0.4025,Common,805,0.7276051188299817,0.9888198757763976,0.8383359662980515,14,0.6848736375355534,0.7276051188299817,11.0,237.30000000000013,395.0,0.0062111801242236,0.9888198757763976,11,0.55,5,0.25
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,Erythroblast,0.0225,Intermediate,45,0.5,0.0222222222222222,0.0425531914893617,1,0.5,0.5,7.0,101.0,101.0,0.0,0.0222222222222222,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,65.0,182.9,196.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,HSC,0.0075,Rare,15,0.5,0.0666666666666666,0.1176470588235294,1,0.5,0.5,148.5,247.85,257.0,0.0,0.0666666666666666,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,Lymph prog,0.034,Intermediate,68,0.5,0.0441176470588235,0.0810810810810811,2,0.5,0.5,34.0,298.39999999999986,395.0,0.0,0.0441176470588235,1,0.0666666666666666,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,MK/E prog,0.0165,Intermediate,33,0.0,0.0,0.0,0,,,67.5,172.25,196.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,NK,0.0445,Intermediate,89,0.3529411764705882,0.0674157303370786,0.1132075471698113,2,0.4761904761904761,0.3529411764705882,75.0,312.0,395.0,0.0,0.0674157303370786,1,0.0909090909090909,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,Naive CD20+ B,0.0825,Intermediate,165,0.4189944134078212,0.9090909090909092,0.5736137667304015,2,0.3789729167469275,0.4189944134078212,10.5,186.79999999999984,257.0,0.0,0.9090909090909092,0,0.0,0,0.0
