dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery,representation
D11,GARQ,0,instrumented_legacy,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,1.0,1.0,1.0,1,1.0,1.0,12.0,12.0,12.0,1.0,1.0,1,1.0,1,1.0,
D11,GARQ,0,instrumented_legacy,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.6766467065868264,0.7902097902097902,0.7290322580645161,3,0.6630167958656331,0.6766467065868264,60.0,67.3,68.0,0.0,0.7902097902097902,3,0.2,1,0.0666666666666666,
D11,GARQ,1,instrumented_legacy,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,0.0,0.0,0.0,0,,,62.0,62.0,62.0,0.0,0.0,0,0.0,0,0.0,
D11,GARQ,1,instrumented_legacy,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.5851063829787234,0.7692307692307693,0.6646525679758308,3,0.5833333333333334,0.5851063829787234,65.0,78.8,82.0,0.0,0.7692307692307693,2,0.2222222222222222,0,0.0,
D11,GARQ,2,instrumented_legacy,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,1.0,1.0,1.0,1,1.0,1.0,12.0,12.0,12.0,1.0,1.0,1,1.0,1,1.0,
D11,GARQ,2,instrumented_legacy,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.6814159292035398,0.5384615384615384,0.6015625,2,0.6823308270676691,0.6814159292035398,64.0,75.0,75.0,0.0,0.5384615384615384,2,0.1538461538461538,1,0.0769230769230769,
D11,KMeans,0,diagnostic_fixed_representation,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,0.0,0.0,0.0,0,,,58.5,61.65,62.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D11,KMeans,0,diagnostic_fixed_representation,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.7633587786259542,0.6993006993006993,0.7299270072992702,3,0.7657036391792489,0.7633587786259542,42.0,73.59999999999997,88.0,0.0,0.6993006993006993,3,0.2307692307692307,3,0.2307692307692307,fixed_equal_weight_PCA_LSI_CLR
D11,KMeans,1,diagnostic_fixed_representation,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,1.0,1.0,1.0,1,1.0,1.0,12.0,12.0,12.0,1.0,1.0,1,1.0,1,1.0,fixed_equal_weight_PCA_LSI_CLR
D11,KMeans,1,diagnostic_fixed_representation,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.7647058823529411,0.8181818181818182,0.7905405405405405,4,0.7669386265158482,0.7647058823529411,44.0,65.39999999999998,72.0,0.0,0.8181818181818182,4,0.3076923076923077,3,0.2307692307692307,fixed_equal_weight_PCA_LSI_CLR
D11,KMeans,2,diagnostic_fixed_representation,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,0.0,0.0,0.0,0,,,82.0,102.7,105.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D11,KMeans,2,diagnostic_fixed_representation,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.74375,0.8321678321678322,0.7854785478547854,4,0.7209411610421402,0.74375,52.0,87.6,90.0,0.0,0.8321678321678322,4,0.3076923076923077,2,0.1538461538461538,fixed_equal_weight_PCA_LSI_CLR
D11,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,1.0,0.9166666666666666,0.9565217391304348,1,1.0,1.0,39.5,65.14999999999999,68.0,0.9166666666666666,0.9166666666666666,1,0.5,1,0.5,
D11,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.6643356643356644,0.6643356643356644,0.6643356643356644,4,0.6484343434343434,0.6643356643356644,55.5,70.7,72.0,0.0,0.6643356643356644,4,0.2857142857142857,1,0.0714285714285714,
D11,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,0.0,0.0,0.0,0,,,51.0,51.0,51.0,0.0,0.0,0,0.0,0,0.0,
D11,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.8317757009345794,0.6223776223776224,0.7120000000000001,2,0.8162698412698413,0.8317757009345794,62.0,70.8,72.0,0.0,0.6223776223776224,2,0.1538461538461538,2,0.1538461538461538,
D11,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,1.0,1.0,1.0,1,1.0,1.0,12.0,12.0,12.0,1.0,1.0,1,1.0,1,1.0,
D11,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.6789473684210526,0.902097902097902,0.7747747747747747,4,0.7588306549301461,0.6789473684210526,65.0,71.6,73.0,0.0069930069930069,0.902097902097902,4,0.2666666666666666,1,0.0666666666666666,
D11,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,0.9230769230769232,1.0,0.96,2,0.9375,0.9230769230769232,6.5,7.85,8.0,0.4166666666666667,1.0,2,1.0,2,1.0,
D11,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.7025316455696202,0.7762237762237763,0.7375415282392026,8,0.6925933697990186,0.7025316455696202,28.0,44.0,44.0,0.0,0.7762237762237763,7,0.3043478260869565,5,0.217391304347826,
D11,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,1.0,0.6666666666666666,0.8,1,1.0,1.0,9.0,9.9,10.0,0.6666666666666666,0.6666666666666666,1,0.5,1,0.5,
D11,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.6835443037974683,0.7552447552447552,0.717607973421927,6,0.674395908004779,0.6835443037974683,30.0,50.25,55.0,0.0,0.7552447552447552,5,0.25,2,0.1,
D11,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,0.9230769230769232,1.0,0.96,1,0.9230769230769232,0.9230769230769232,13.0,13.0,13.0,0.0,1.0,1,1.0,1,1.0,
D11,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.6408839779005525,0.8111888111888111,0.7160493827160495,6,0.6418712603615908,0.6408839779005525,31.0,44.39999999999997,57.0,0.0,0.8111888111888111,6,0.3157894736842105,1,0.0526315789473684,
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.0,0.0,0.0,0,,,61.0,76.0,85.0,0.0,0.0,0,0.0,0,0.0,
D17,GARQ,1,instrumented_legacy,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.0,0.0,0.0,0,,,57.0,75.19999999999999,167.0,0.0,0.0,0,0.0,0,0.0,
D17,GARQ,2,instrumented_legacy,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.0,0.0,0.0,0,,,63.0,79.0,103.0,0.0,0.0,0,0.0,0,0.0,
D17,KMeans,0,diagnostic_fixed_representation,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.0,0.0,0.0,0,,,49.0,86.59999999999997,106.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D17,KMeans,1,diagnostic_fixed_representation,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.0,0.0,0.0,0,,,53.0,83.89999999999999,90.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D17,KMeans,2,diagnostic_fixed_representation,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.0,0.0,0.0,0,,,54.0,118.39999999999996,142.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D17,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.7391304347826086,0.2297297297297297,0.3505154639175257,1,0.7391304347826086,0.7391304347826086,53.0,70.6,73.0,0.0,0.2297297297297297,1,0.04,1,0.04,
D17,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.5454545454545454,0.2432432432432432,0.3364485981308411,2,0.5206766917293233,0.5454545454545454,53.0,68.8,73.0,0.0,0.2432432432432432,1,0.037037037037037,0,0.0,
D17,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.8888888888888888,0.2162162162162162,0.3478260869565217,1,0.8888888888888888,0.8888888888888888,54.0,70.1,75.0,0.0,0.2162162162162162,1,0.037037037037037,1,0.037037037037037,
D17,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.3846153846153846,0.0675675675675675,0.1149425287356321,1,0.3846153846153846,0.3846153846153846,35.0,87.35000000000002,105.0,0.0,0.0675675675675675,0,0.0,0,0.0,
D17,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.6666666666666666,0.081081081081081,0.144578313253012,1,0.6666666666666666,0.6666666666666666,32.5,64.75,105.0,0.0,0.081081081081081,1,0.0217391304347826,0,0.0,
D17,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.0,0.0,0.0,0,,,30.5,96.75,124.0,0.0,0.0,0,0.0,0,0.0,
D18,GARQ,0,instrumented_legacy,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.0,0.0,0.0,0,,,82.0,82.0,82.0,0.0,0.0,0,0.0,0,0.0,
D18,GARQ,0,instrumented_legacy,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.8703703703703703,0.746031746031746,0.8034188034188035,1,0.8703703703703703,0.8703703703703703,53.0,71.35,72.0,0.0,0.746031746031746,1,0.0714285714285714,1,0.0714285714285714,
D18,GARQ,0,instrumented_legacy,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,53.5,63.5,66.0,0.0,0.0,0,0.0,0,0.0,
D18,GARQ,1,instrumented_legacy,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.0,0.0,0.0,0,,,61.0,61.0,61.0,0.0,0.0,0,0.0,0,0.0,
D18,GARQ,1,instrumented_legacy,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.92,0.7301587301587301,0.8141592920353983,1,0.92,0.92,51.0,60.4,62.0,0.0,0.7301587301587301,1,0.0588235294117647,1,0.0588235294117647,
D18,GARQ,1,instrumented_legacy,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,49.5,57.0,57.0,0.0,0.0,0,0.0,0,0.0,
D18,GARQ,2,instrumented_legacy,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.0,0.0,0.0,0,,,54.0,134.39999999999998,153.0,0.0,0.0,0,0.0,0,0.0,
D18,GARQ,2,instrumented_legacy,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.7833333333333333,0.746031746031746,0.7642276422764228,1,0.7833333333333333,0.7833333333333333,52.0,243.25,382.0,0.0,0.746031746031746,1,0.0625,1,0.0625,
D18,GARQ,2,instrumented_legacy,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,54.5,82.74999999999999,95.0,0.0,0.0,0,0.0,0,0.0,
D18,KMeans,0,diagnostic_fixed_representation,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.0,0.0,0.0,0,,,59.5,63.55,64.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,0,diagnostic_fixed_representation,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.9411764705882352,0.7619047619047619,0.8421052631578947,2,0.925,0.9411764705882352,51.0,65.6,68.0,0.492063492063492,0.7619047619047619,2,0.1176470588235294,2,0.1176470588235294,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,0,diagnostic_fixed_representation,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,40.0,53.5,55.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,1,diagnostic_fixed_representation,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.0,0.0,0.0,0,,,54.0,55.8,56.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,1,diagnostic_fixed_representation,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.9791666666666666,0.746031746031746,0.846846846846847,1,0.9791666666666666,0.9791666666666666,47.5,72.25,73.0,0.0,0.746031746031746,1,0.0625,1,0.0625,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,1,diagnostic_fixed_representation,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,47.0,67.6,74.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,2,diagnostic_fixed_representation,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.5094339622641509,0.9642857142857144,0.6666666666666666,1,0.5094339622641509,0.5094339622641509,59.0,64.4,65.0,0.0,0.9642857142857144,1,0.5,0,0.0,fixed_equal_weight_PCA_LSI_CLR
