dataset,cell_type,baseline,paired_seeds,mean_f1_difference_GARQ_minus_baseline,min_difference,max_difference
D11,Plasma,KMeans,3,0.3333333333333333,-1.0,1.0
D11,Plasma,MetaQ,3,-0.2922222222222222,-1.0,0.08333333333333337
D11,Plasma,SEACells,3,-0.24,-0.8,0.040000000000000036
D11,gdT,KMeans,3,-0.10356625655141638,-0.18391604785478544,-0.0008947492347540775
D11,gdT,MetaQ,3,-0.04558467892194207,-0.14668924825174823,0.02613370733987841
D11,gdT,SEACells,3,-0.05865051944561069,-0.11448688271604945,-0.0085092701746865
D17,Mast Cells,KMeans,3,0.0,0.0,0.0
D17,Mast Cells,MetaQ,3,-0.34493004966829616,-0.3505154639175257,-0.3364485981308411
D17,Mast Cells,SEACells,3,-0.08650694732954804,-0.144578313253012,0.0
D18,DC.Myeloid,KMeans,3,-0.2222222222222222,-0.6666666666666666,0.0
D18,DC.Myeloid,MetaQ,3,0.0,0.0,0.0
D18,DC.Myeloid,SEACells,3,-0.6398946115927248,-0.7169811320754718,-0.5
D18,Platelets,KMeans,3,-0.04783666954591781,-0.0721359940872135,-0.032687554811448694
D18,Platelets,MetaQ,3,0.0032426052175675104,-0.0721359940872135,0.09987357774968397
D18,Platelets,SEACells,3,0.0184366704116327,-0.03919116114238064,0.06031313818924444
D18,T.DoubleNegative,KMeans,3,0.0,0.0,0.0
D18,T.DoubleNegative,MetaQ,3,0.0,0.0,0.0
D18,T.DoubleNegative,SEACells,3,0.0,0.0,0.0
D5,Treg,KMeans,3,-0.4533654489495517,-0.6808510638297872,0.0
D5,Treg,MetaQ,3,0.0,0.0,0.0
D5,Treg,SEACells,3,-0.36507936507936506,-0.6666666666666665,0.0
D5,cDC2,KMeans,3,-0.022057734635214505,-0.028974234321827774,-0.008845643520566049
D5,cDC2,MetaQ,3,0.08802518452656379,0.014735980352026279,0.21988112318097974
D5,cDC2,SEACells,3,0.004214030803995257,-0.04598930481283425,0.043687199650502384
