dataset,method,seed,implementation_tag,resolution,n_cells,requested_K,realized_K,empty_anchor_count,empty_rate,compression_ratio,size_min,size_q1,size_median,size_mean,size_q3,size_p90,size_p95,size_p99,size_max,size_sd,size_cv,size_gini,singleton_rate,size_le_2_rate,size_gt_2x_median_rate,size_gt_5x_median_rate,tukey_outlier_count,max_median_ratio,representation
D11,GARQ,0,instrumented_legacy,0.0200394559235801,9631,193,193,0,0.0,49.90155440414508,9.0,42.0,55.0,49.90155440414508,60.0,65.0,68.0,72.23999999999995,79.0,15.01130295215054,0.3008183438651287,0.1621964478909049,0.0,0.0,0.0,0.0,0,1.4363636363636365,
D11,GARQ,1,instrumented_legacy,0.0200394559235801,9631,193,193,0,0.0,49.90155440414508,9.0,41.0,54.0,49.90155440414508,61.0,66.0,71.0,82.4799999999999,92.0,16.40362154082375,0.3287196508544266,0.1808204615600637,0.0,0.0,0.0,0.0,1,1.7037037037037035,
D11,GARQ,2,instrumented_legacy,0.0200394559235801,9631,193,193,0,0.0,49.90155440414508,9.0,36.0,56.0,49.90155440414508,63.0,68.0,70.39999999999998,74.07999999999998,75.0,17.372920968792503,0.3481438840179579,0.1937601107821623,0.0,0.0,0.0,0.0,0,1.3392857142857142,
D11,KMeans,0,diagnostic_fixed_representation,0.0200394559235801,9631,193,193,0,0.0,49.90155440414508,3.0,37.0,49.0,49.90155440414508,60.0,72.80000000000001,81.79999999999995,98.87999999999982,130.0,18.3886187533098,0.3684979150024702,0.2014145814761594,0.0,0.0,0.0103626943005181,0.0,4,2.653061224489796,fixed_equal_weight_PCA_LSI_CLR
D11,KMeans,1,diagnostic_fixed_representation,0.0200394559235801,9631,193,193,0,0.0,49.90155440414508,4.0,39.0,46.0,49.90155440414508,58.0,69.80000000000001,77.39999999999986,102.27999999999936,144.0,17.85548607537499,0.3578142262015754,0.1823569507575655,0.0,0.0,0.0259067357512953,0.0,6,3.130434782608696,fixed_equal_weight_PCA_LSI_CLR
D11,KMeans,2,diagnostic_fixed_representation,0.0200394559235801,9631,193,193,0,0.0,49.90155440414508,14.0,39.0,47.0,49.90155440414508,60.0,72.0,82.0,105.63999999999989,121.0,17.69108908427941,0.3545197999445464,0.1924829310360596,0.0,0.0,0.0207253886010362,0.0,4,2.574468085106383,fixed_equal_weight_PCA_LSI_CLR
D11,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0230505658810092,9631,222,196,26,0.1171171171171171,49.13775510204081,1.0,12.0,38.0,49.13775510204081,55.0,60.0,63.0,121.45000000000148,2773.0,197.35971688592775,4.016457741630345,0.549773901877229,0.010204081632653,0.0153061224489795,0.0153061224489795,0.010204081632653,2,72.97368421052632,
D11,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0230505658810092,9631,222,196,26,0.1171171171171171,49.13775510204081,1.0,12.0,44.0,49.13775510204081,56.0,60.5,64.25,286.8000000000027,2147.0,156.87570256232084,3.1925695880194045,0.5350362032467436,0.010204081632653,0.0306122448979591,0.0153061224489795,0.0153061224489795,3,48.79545454545455,
D11,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0230505658810092,9631,222,185,37,0.1666666666666666,52.05945945945946,1.0,13.0,44.0,52.05945945945946,57.0,61.6,64.79999999999998,68.0,3052.0,222.91086083935213,4.281851236141641,0.552458137714082,0.027027027027027,0.0324324324324324,0.0054054054054054,0.0054054054054054,1,69.36363636363636,
D11,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0200394559235801,9631,193,193,0,0.0,49.90155440414508,5.0,25.0,37.0,49.90155440414508,67.0,98.60000000000002,114.19999999999992,166.6799999999997,188.0,34.542028260095606,0.6922034528292442,0.3610695815487875,0.0,0.0,0.2020725388601036,0.0103626943005181,7,5.081081081081081,
D11,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0200394559235801,9631,193,193,0,0.0,49.90155440414508,7.0,26.0,40.0,49.90155440414508,68.0,97.60000000000002,106.99999999999989,134.9599999999998,194.0,31.23158870419355,0.6258640452610689,0.3336441101516422,0.0,0.0,0.1761658031088082,0.0,4,4.85,
D11,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0200394559235801,9631,193,193,0,0.0,49.90155440414508,9.0,26.0,35.0,49.90155440414508,69.0,100.60000000000002,121.0,150.23999999999995,173.0,34.73794226761151,0.6961294629476711,0.3661406414842399,0.0,0.0,0.2487046632124352,0.0,7,4.942857142857143,
D17,GARQ,0,instrumented_legacy,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,15.0,36.0,53.0,49.97832817337461,62.0,69.0,72.89999999999998,79.77999999999997,85.0,15.93921375364903,0.3189225077388736,0.1817137813761641,0.0,0.0,0.0,0.0,0,1.6037735849056605,
D17,GARQ,1,instrumented_legacy,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,14.0,37.5,54.0,49.97832817337461,62.0,66.0,70.0,82.55999999999995,167.0,17.391799336262977,0.3479868169245457,0.186921110838138,0.0,0.0,0.0030959752321981,0.0,3,3.092592592592593,
D17,GARQ,2,instrumented_legacy,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,17.0,36.0,54.0,49.97832817337461,62.5,68.0,72.0,82.89999999999986,103.0,16.226353870455153,0.3246678002946797,0.1841724571165333,0.0,0.0,0.0,0.0,1,1.9074074074074077,
D17,KMeans,0,diagnostic_fixed_representation,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,4.0,39.0,48.0,49.97832817337461,59.0,67.80000000000001,75.0,104.0,127.0,15.988626421180376,0.319911189620347,0.1711307357673456,0.0,0.0,0.0185758513931888,0.0,8,2.645833333333333,fixed_equal_weight_PCA_LSI_CLR
D17,KMeans,1,diagnostic_fixed_representation,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,20.0,39.0,47.0,49.97832817337461,59.0,70.0,75.89999999999998,91.55999999999996,114.0,14.736068091128573,0.2948491602201901,0.1626707432354293,0.0,0.0,0.0061919504643962,0.0,5,2.425531914893617,fixed_equal_weight_PCA_LSI_CLR
D17,KMeans,2,diagnostic_fixed_representation,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,3.0,38.0,48.0,49.97832817337461,58.0,72.0,81.89999999999998,105.55999999999996,142.0,17.844640817118393,0.357047573804698,0.188677088613397,0.0,0.0,0.0216718266253869,0.0,11,2.958333333333333,fixed_equal_weight_PCA_LSI_CLR
D17,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,13.0,42.0,53.0,49.97832817337461,60.0,65.0,67.0,70.0,73.0,13.323361108728632,0.2665827688855447,0.1484775484739812,0.0,0.0,0.0,0.0,0,1.3773584905660377,
D17,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,12.0,41.0,54.0,49.97832817337461,62.0,66.0,69.0,71.0,74.0,14.642621390019988,0.2929794157824726,0.1633995238761003,0.0,0.0,0.0,0.0,0,1.3703703703703705,
D17,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,11.0,41.0,55.0,49.97832817337461,61.0,66.0,67.89999999999998,71.0,75.0,14.69343541862435,0.2939961370386957,0.1621651996120585,0.0,0.0,0.0,0.0,0,1.3636363636363635,
D17,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,3.0,27.5,48.0,49.97832817337461,68.0,89.0,99.69999999999992,128.0,164.0,28.414350340467927,0.5685334299678585,0.3185837720880466,0.0,0.0,0.0588235294117647,0.0,3,3.4166666666666665,
D17,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,3.0,25.5,48.0,49.97832817337461,70.5,92.0,100.0,127.33999999999992,144.0,29.91721747663278,0.5986038062908002,0.3382926855930999,0.0,0.0,0.0712074303405572,0.0,2,3.0,
D17,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0200086724896239,16143,323,323,0,0.0,49.97832817337461,3.0,23.5,46.0,49.97832817337461,70.0,92.0,106.79999999999995,128.67999999999984,139.0,30.802962686076054,0.6163263920958041,0.3467964049634564,0.0,0.0,0.0990712074303405,0.0,0,3.0217391304347827,
D18,GARQ,0,instrumented_legacy,0.0199866755496335,25517,510,497,13,0.0254901960784313,51.3420523138833,1.0,40.0,49.0,51.3420523138833,59.0,77.0,91.0,118.28000000000064,572.0,35.791281464122406,0.697114350733583,0.2652213788274972,0.0140845070422535,0.0181086519114688,0.0301810865191146,0.0040241448692152,29,11.673469387755102,
D18,GARQ,1,instrumented_legacy,0.0199866755496335,25517,510,493,17,0.0333333333333333,51.75862068965517,1.0,42.0,49.0,51.75862068965517,58.0,76.80000000000001,95.39999999999998,121.23999999999997,147.0,21.621667272775515,0.417740407002325,0.2163637318985767,0.0020283975659229,0.0020283975659229,0.0466531440162271,0.0,41,3.0,
D18,GARQ,2,instrumented_legacy,0.0199866755496335,25517,510,486,24,0.0470588235294117,52.50411522633745,1.0,38.0,47.0,52.50411522633745,56.75,79.5,95.0,197.5999999999999,988.0,56.6280592677522,1.078545158291632,0.3227488460448622,0.0144032921810699,0.0288065843621399,0.0555555555555555,0.0082304526748971,35,21.02127659574468,
D18,KMeans,0,diagnostic_fixed_representation,0.0199866755496335,25517,510,510,0,0.0,50.03333333333333,19.0,40.0,48.0,50.03333333333333,58.0,68.0,76.09999999999991,100.36999999999978,118.0,15.065439008581317,0.3011080414773081,0.1628861804548601,0.0,0.0,0.0117647058823529,0.0,14,2.458333333333333,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,1,diagnostic_fixed_representation,0.0199866755496335,25517,510,510,0,0.0,50.03333333333333,13.0,39.0,48.0,50.03333333333333,58.0,70.10000000000002,81.0,94.0,145.0,16.131241779917257,0.3224098956678999,0.1714169023803431,0.0,0.0,0.0078431372549019,0.0,15,3.020833333333333,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,2,diagnostic_fixed_representation,0.0199866755496335,25517,510,510,0,0.0,50.03333333333333,20.0,39.0,48.0,50.03333333333333,59.0,70.0,77.0,100.0,140.0,15.928279415374725,0.3183533527390018,0.1726526798358956,0.0,0.0,0.0156862745098039,0.0,11,2.9166666666666665,fixed_equal_weight_PCA_LSI_CLR
D18,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0210447936669671,25517,537,511,26,0.0484171322160148,49.93542074363992,1.0,25.0,42.0,49.93542074363992,49.0,53.0,56.5,302.79999999999905,2775.0,133.55534116865402,2.674561246901368,0.4173583828500964,0.0156555772994129,0.0273972602739726,0.0371819960861056,0.0176125244618395,19,66.07142857142857,
D18,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0210447936669671,25517,537,505,32,0.0595903165735568,50.52871287128713,1.0,23.0,39.0,50.52871287128713,48.0,52.0,54.79999999999996,97.87999999999944,3415.0,188.8537680368412,3.73755350780283,0.470887938423501,0.0257425742574257,0.0376237623762376,0.0118811881188118,0.0079207920792079,6,87.56410256410257,
D18,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0210447936669671,25517,537,517,20,0.037243947858473,49.355899419729205,1.0,30.0,44.0,49.355899419729205,50.0,55.0,98.2,184.55999999999975,2318.0,105.0972280971068,2.12937519795447,0.3546502051311944,0.0096711798839458,0.0212765957446808,0.0618955512572533,0.0077369439071566,37,52.68181818181818,
D18,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,25517,510,510,0,0.0,50.03333333333333,5.0,26.0,42.0,50.03333333333333,66.0,92.0,118.54999999999995,154.81999999999994,189.0,32.879981588498296,0.6571615240872412,0.3453561524151142,0.0,0.0,0.1254901960784313,0.0,22,4.5,
D18,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,25517,510,510,0,0.0,50.03333333333333,4.0,25.25,41.0,50.03333333333333,69.0,95.0,111.54999999999995,144.0,199.0,32.50982723823051,0.6497633691851534,0.3509501163007821,0.0,0.0,0.1686274509803921,0.0,7,4.853658536585366,
D18,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,25517,510,510,0,0.0,50.03333333333333,3.0,25.25,40.0,50.03333333333333,69.0,96.0,113.54999999999995,145.36999999999978,198.0,33.533797669166084,0.6702291339606813,0.3612881685181812,0.0,0.0,0.1764705882352941,0.0,9,4.95,
D5,GARQ,0,instrumented_legacy,0.0199950425514335,12103,242,237,5,0.0206611570247933,51.06751054852321,3.0,43.0,48.0,51.06751054852321,57.0,72.80000000000001,83.0,127.83999999999992,158.0,19.86852120511404,0.3890638292664651,0.1915471667065842,0.0,0.0,0.0253164556962025,0.0,16,3.2916666666666665,
D5,GARQ,1,instrumented_legacy,0.0199950425514335,12103,242,239,3,0.012396694214876,50.64016736401673,6.0,43.0,50.0,50.64016736401673,56.0,63.20000000000002,77.0,117.24,188.0,18.72546623414641,0.3697749673602406,0.1692011075092208,0.0,0.0,0.0209205020920502,0.0,13,3.76,
D5,GARQ,2,instrumented_legacy,0.0199950425514335,12103,242,236,6,0.024793388429752,51.28389830508475,1.0,41.0,48.5,51.28389830508475,55.0,61.0,67.5,94.20000000000005,1131.0,72.33691794014295,1.4105190972381836,0.2444221701581202,0.0127118644067796,0.0211864406779661,0.0084745762711864,0.0042372881355932,6,23.31958762886598,
D5,KMeans,0,diagnostic_fixed_representation,0.0199950425514335,12103,242,242,0,0.0,50.01239669421488,19.0,42.0,48.0,50.01239669421488,56.0,67.0,73.0,86.59,110.0,13.440658390363994,0.2687465364346101,0.1446765811085701,0.0,0.0,0.0082644628099173,0.0,9,2.2916666666666665,fixed_equal_weight_PCA_LSI_CLR
D5,KMeans,1,diagnostic_fixed_representation,0.0199950425514335,12103,242,242,0,0.0,50.01239669421488,22.0,41.0,48.0,50.01239669421488,57.0,67.0,76.0,88.18,134.0,14.353417452727806,0.2869971927257811,0.1509696728425368,0.0,0.0,0.0082644628099173,0.0,6,2.7916666666666665,fixed_equal_weight_PCA_LSI_CLR
D5,KMeans,2,diagnostic_fixed_representation,0.0199950425514335,12103,242,242,0,0.0,50.01239669421488,22.0,41.0,48.0,50.01239669421488,57.75,67.0,76.94999999999999,93.18,108.0,14.20492621141892,0.2840281040372948,0.1536225223853385,0.0,0.0,0.0082644628099173,0.0,7,2.25,fixed_equal_weight_PCA_LSI_CLR
D5,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0210691564075022,12103,255,244,11,0.0431372549019607,49.60245901639344,1.0,13.0,30.0,49.60245901639344,50.25,56.0,58.0,158.30999999999943,2897.0,206.1987378722314,4.157026525722917,0.5844476305156695,0.0245901639344262,0.0286885245901639,0.0245901639344262,0.0122950819672131,4,96.56666666666666,
D5,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0210691564075022,12103,255,237,18,0.0705882352941176,51.06751054852321,1.0,21.0,45.0,51.06751054852321,54.0,60.0,65.0,94.43999999999971,2865.0,184.698206884646,3.616745850752796,0.4541029859389048,0.0295358649789029,0.0337552742616033,0.0126582278481012,0.0042194092827004,2,63.66666666666666,
D5,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0210691564075022,12103,255,244,11,0.0431372549019607,49.60245901639344,1.0,14.0,32.5,49.60245901639344,52.0,57.0,66.39999999999998,341.1499999999993,2832.0,184.04902324351332,3.710481836851794,0.5495213217695654,0.0040983606557377,0.0245901639344262,0.0532786885245901,0.0245901639344262,7,87.13846153846154,
D5,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0199950425514335,12103,242,242,0,0.0,50.01239669421488,4.0,18.0,34.0,50.01239669421488,66.0,120.8,152.39999999999986,179.08000000000004,205.0,44.09415439140922,0.8816644933257068,0.4502247581536713,0.0,0.0,0.2396694214876033,0.0165289256198347,17,6.029411764705882,
D5,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0199950425514335,12103,242,242,0,0.0,50.01239669421488,3.0,17.0,32.0,50.01239669421488,71.75,116.9,144.95,199.96000000000012,256.0,46.07926432649534,0.9213568509470274,0.4674235538897193,0.0,0.0,0.2892561983471074,0.024793388429752,9,8.0,
D5,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0199950425514335,12103,242,242,0,0.0,50.01239669421488,2.0,17.0,27.5,50.01239669421488,65.5,111.70000000000002,168.64999999999992,235.31000000000003,357.0,53.27369878855573,1.0652098741494247,0.4961678786012347,0.0,0.0041322314049586,0.2975206611570248,0.0661157024793388,16,12.981818181818182,
