dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,instrumented_legacy,0.0200394559235801,CD14 Mono,0.2651853390094486,Common,2554,0.9846396218983852,0.9788566953797964,0.98173964264677,47,0.9845836159901188,0.9846396218983852,55.5,62.35,64.0,0.8339859044635866,0.9788566953797964,47,0.8703703703703703,46,0.8518518518518519
D11,GARQ,0,instrumented_legacy,0.0200394559235801,CD16 Mono,0.0458934690063337,Intermediate,442,0.9337899543378996,0.9253393665158371,0.9295454545454546,8,0.9301382620531556,0.9337899543378996,55.0,64.39999999999999,68.0,0.6380090497737556,0.9253393665158371,8,0.6153846153846154,7,0.5384615384615384
D11,GARQ,0,instrumented_legacy,0.0200394559235801,CD4 Naive,0.1434949641781746,Common,1382,0.962109955423477,0.9370477568740956,0.9494134897360704,29,0.9402974899941504,0.962109955423477,50.0,63.1,71.0,0.4942112879884225,0.9370477568740956,29,0.4833333333333333,27,0.45
D11,GARQ,0,instrumented_legacy,0.0200394559235801,CD4 TCM,0.1155643235385733,Common,1113,0.868995633187773,0.8939802336028752,0.8813108945969885,30,0.8386248697276977,0.868995633187773,42.0,66.6,71.0,0.2237196765498652,0.8939802336028752,29,0.5087719298245614,23,0.4035087719298245
D11,GARQ,0,instrumented_legacy,0.0200394559235801,CD4 TEM,0.0296957740629218,Intermediate,286,0.8014981273408239,0.7482517482517482,0.7739602169981917,4,0.7961025456395037,0.8014981273408239,47.0,70.0,71.0,0.0,0.7482517482517482,4,0.1904761904761904,3,0.1428571428571428
D11,GARQ,0,instrumented_legacy,0.0200394559235801,CD8 Naive,0.1405876855985879,Common,1354,0.9652173913043478,0.983751846381093,0.974396488661302,26,0.9560545125833724,0.9652173913043478,56.0,64.19999999999999,68.0,0.328655834564254,0.983751846381093,26,0.7878787878787878,25,0.7575757575757576
D11,GARQ,0,instrumented_legacy,0.0200394559235801,CD8 TEM_1,0.0334337036652476,Intermediate,322,0.8949152542372881,0.8198757763975155,0.8557536466774717,8,0.887389496760798,0.8949152542372881,38.0,67.4,70.0,0.0,0.8198757763975155,8,0.2962962962962963,8,0.2962962962962963
D11,GARQ,0,instrumented_legacy,0.0200394559235801,CD8 TEM_2,0.0327068840203509,Intermediate,315,0.8707692307692307,0.8984126984126984,0.8843749999999999,5,0.8706211703789736,0.8707692307692307,64.0,67.6,68.0,0.0,0.8984126984126984,5,0.5555555555555556,4,0.4444444444444444
D11,GARQ,0,instrumented_legacy,0.0200394559235801,HSPC,0.0017651334233205,Rare,17,0.9444444444444444,1.0,0.9714285714285714,1,0.9444444444444444,0.9444444444444444,18.0,18.0,18.0,0.0,1.0,1,1.0,1,1.0
D11,GARQ,0,instrumented_legacy,0.0200394559235801,Intermediate B,0.0311494133527151,Intermediate,300,0.9335548172757476,0.9366666666666666,0.935108153078203,5,0.9339036251105216,0.9335548172757476,60.0,73.8,75.0,0.1533333333333333,0.9366666666666666,5,0.5555555555555556,5,0.5555555555555556
D11,GARQ,0,instrumented_legacy,0.0200394559235801,MAIT,0.0134980791195099,Intermediate,130,0.9298245614035088,0.8153846153846154,0.8688524590163934,2,0.9309707241910632,0.9298245614035088,55.0,62.2,63.0,0.0,0.8153846153846154,2,0.2222222222222222,2,0.2222222222222222
D11,GARQ,0,instrumented_legacy,0.0200394559235801,Memory B,0.0309417505970304,Intermediate,298,0.9761904761904762,0.9630872483221476,0.9695945945945946,5,0.964478160667252,0.9761904761904762,64.0,73.19999999999999,75.0,0.4328859060402684,0.9630872483221476,5,0.7142857142857143,5,0.7142857142857143
D11,GARQ,0,instrumented_legacy,0.0200394559235801,NK,0.0418440452704807,Intermediate,403,0.9779411764705882,0.9900744416873448,0.9839704069050556,7,0.975418628584803,0.9779411764705882,62.5,68.75,71.0,0.1563275434243176,0.9900744416873448,7,0.7,7,0.7
D11,GARQ,0,instrumented_legacy,0.0200394559235801,Naive B,0.0129789222302979,Intermediate,125,0.8769230769230769,0.912,0.8941176470588236,2,0.8739393939393939,0.8769230769230769,64.0,74.1,75.0,0.0,0.912,2,0.2857142857142857,2,0.2857142857142857
D11,GARQ,0,instrumented_legacy,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,1.0,1.0,1.0,1,1.0,1.0,12.0,12.0,12.0,1.0,1.0,1,1.0,1,1.0
D11,GARQ,0,instrumented_legacy,0.0200394559235801,Treg,0.0163015263212542,Intermediate,157,0.8726114649681529,0.8726114649681529,0.8726114649681529,4,0.8581149320809979,0.8726114649681529,41.5,59.15,65.0,0.0,0.8726114649681529,4,0.2857142857142857,4,0.2857142857142857
D11,GARQ,0,instrumented_legacy,0.0200394559235801,cDC,0.0186896480116291,Intermediate,180,0.8883248730964467,0.9722222222222222,0.9283819628647216,4,0.8804347826086957,0.8883248730964467,56.0,59.7,60.0,0.8388888888888889,0.9722222222222222,4,0.5714285714285714,3,0.4285714285714285
D11,GARQ,0,instrumented_legacy,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.6766467065868264,0.7902097902097902,0.7290322580645161,3,0.6630167958656331,0.6766467065868264,60.0,67.3,68.0,0.0,0.7902097902097902,3,0.2,1,0.0666666666666666
D11,GARQ,0,instrumented_legacy,0.0200394559235801,pDC,0.0101754750285536,Intermediate,98,1.0,1.0,1.0,2,1.0,1.0,49.0,76.0,79.0,1.0,1.0,2,1.0,2,1.0
D11,GARQ,1,instrumented_legacy,0.0200394559235801,CD14 Mono,0.2651853390094486,Common,2554,0.9680486877139596,0.9964761158966328,0.9820567239050744,47,0.9678002921871056,0.9680486877139596,57.0,63.89999999999999,66.0,0.7987470634299139,0.9964761158966328,47,0.903846153846154,45,0.8653846153846154
D11,GARQ,1,instrumented_legacy,0.0200394559235801,CD16 Mono,0.0458934690063337,Intermediate,442,0.979328165374677,0.8574660633484162,0.914354644149578,7,0.9767767285004932,0.979328165374677,55.0,62.49999999999999,66.0,0.4049773755656108,0.8574660633484162,7,0.4666666666666667,7,0.4666666666666667
D11,GARQ,1,instrumented_legacy,0.0200394559235801,CD4 Naive,0.1434949641781746,Common,1382,0.9405797101449276,0.9392185238784372,0.939898624185373,35,0.9272733368240104,0.9405797101449276,41.0,65.39999999999999,70.0,0.4450072358900144,0.9392185238784372,33,0.4925373134328358,32,0.4776119402985074
D11,GARQ,1,instrumented_legacy,0.0200394559235801,CD4 TCM,0.1155643235385733,Common,1113,0.8904363974001857,0.8616352201257862,0.8757990867579909,23,0.8718541102824133,0.8904363974001857,47.5,71.0,82.0,0.1159029649595687,0.8616352201257862,23,0.4423076923076923,21,0.4038461538461538
D11,GARQ,1,instrumented_legacy,0.0200394559235801,CD4 TEM,0.0296957740629218,Intermediate,286,0.767515923566879,0.8426573426573427,0.8033333333333332,5,0.7537941825128904,0.767515923566879,58.0,77.49999999999999,82.0,0.0,0.8426573426573427,5,0.2631578947368421,3,0.1578947368421052
D11,GARQ,1,instrumented_legacy,0.0200394559235801,CD8 Naive,0.1405876855985879,Common,1354,0.9720793534166056,0.9771048744460856,0.974585635359116,32,0.9648454434452808,0.9720793534166056,40.0,66.0,71.0,0.4601181683899557,0.9771048744460856,31,0.6326530612244898,31,0.6326530612244898
D11,GARQ,1,instrumented_legacy,0.0200394559235801,CD8 TEM_1,0.0334337036652476,Intermediate,322,0.8401253918495298,0.8322981366459627,0.8361934477379096,8,0.7712392303895004,0.8401253918495298,51.0,70.60000000000001,82.0,0.0,0.8322981366459627,7,0.35,5,0.25
D11,GARQ,1,instrumented_legacy,0.0200394559235801,CD8 TEM_2,0.0327068840203509,Intermediate,315,0.8407079646017699,0.9047619047619048,0.8715596330275229,5,0.8282695187730592,0.8407079646017699,62.0,78.39999999999999,82.0,0.0,0.9047619047619048,5,0.5,4,0.4
D11,GARQ,1,instrumented_legacy,0.0200394559235801,HSPC,0.0017651334233205,Rare,17,0.6296296296296297,1.0,0.7727272727272727,1,0.6296296296296297,0.6296296296296297,27.0,27.0,27.0,0.0,1.0,1,1.0,0,0.0
D11,GARQ,1,instrumented_legacy,0.0200394559235801,Intermediate B,0.0311494133527151,Intermediate,300,0.9463087248322148,0.94,0.94314381270903,5,0.9442687482345148,0.9463087248322148,61.5,71.1,72.0,0.0,0.94,5,0.5,5,0.5
D11,GARQ,1,instrumented_legacy,0.0200394559235801,MAIT,0.0134980791195099,Intermediate,130,1.0,0.7076923076923077,0.8288288288288288,1,1.0,1.0,52.5,85.0,92.0,0.7076923076923077,0.7076923076923077,1,0.1666666666666666,1,0.1666666666666666
D11,GARQ,1,instrumented_legacy,0.0200394559235801,Memory B,0.0309417505970304,Intermediate,298,0.9611650485436892,0.9966442953020134,0.9785831960461284,6,0.9061229799317966,0.9611650485436892,59.0,66.8,68.0,0.3959731543624161,0.9966442953020134,6,0.8571428571428571,5,0.7142857142857143
D11,GARQ,1,instrumented_legacy,0.0200394559235801,NK,0.0418440452704807,Intermediate,403,0.96875,0.9230769230769232,0.9453621346886912,6,0.9434742647058824,0.96875,64.0,76.2,77.0,0.7096774193548387,0.9230769230769232,6,0.6666666666666666,5,0.5555555555555556
D11,GARQ,1,instrumented_legacy,0.0200394559235801,Naive B,0.0129789222302979,Intermediate,125,0.8257575757575758,0.872,0.8482490272373541,2,0.8191244239631337,0.8257575757575758,62.0,71.2,72.0,0.0,0.872,2,0.2222222222222222,2,0.2222222222222222
D11,GARQ,1,instrumented_legacy,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,0.0,0.0,0.0,0,,,62.0,62.0,62.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,1,instrumented_legacy,0.0200394559235801,Treg,0.0163015263212542,Intermediate,157,0.8716216216216216,0.821656050955414,0.8459016393442623,3,0.8043006048325196,0.8716216216216216,47.0,73.39999999999999,77.0,0.0,0.821656050955414,3,0.2307692307692307,2,0.1538461538461538
D11,GARQ,1,instrumented_legacy,0.0200394559235801,cDC,0.0186896480116291,Intermediate,180,1.0,0.8833333333333333,0.9380530973451328,3,1.0,1.0,55.0,59.1,60.0,0.8833333333333333,0.8833333333333333,3,0.4285714285714285,3,0.4285714285714285
D11,GARQ,1,instrumented_legacy,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.5851063829787234,0.7692307692307693,0.6646525679758308,3,0.5833333333333334,0.5851063829787234,65.0,78.8,82.0,0.0,0.7692307692307693,2,0.2222222222222222,0,0.0
D11,GARQ,1,instrumented_legacy,0.0200394559235801,pDC,0.0101754750285536,Intermediate,98,1.0,0.8979591836734694,0.9462365591397848,1,1.0,1.0,57.5,84.95,88.0,0.8979591836734694,0.8979591836734694,1,0.5,1,0.5
D11,GARQ,2,instrumented_legacy,0.0200394559235801,CD14 Mono,0.2651853390094486,Common,2554,0.983921568627451,0.9823805794831636,0.9831504702194358,41,0.981198854639654,0.983921568627451,62.5,72.1,74.0,0.7756460454189507,0.9823805794831636,41,0.82,41,0.82
D11,GARQ,2,instrumented_legacy,0.0200394559235801,CD16 Mono,0.0458934690063337,Intermediate,442,0.9192825112107624,0.9276018099547512,0.9234234234234234,7,0.9210434660110224,0.9192825112107624,64.0,70.39999999999999,74.0,0.4479638009049774,0.9276018099547512,7,0.5384615384615384,6,0.4615384615384615
D11,GARQ,2,instrumented_legacy,0.0200394559235801,CD4 Naive,0.1434949641781746,Common,1382,0.9588235294117649,0.9435600578871202,0.951130561633844,36,0.9575941133728126,0.9588235294117649,40.0,61.0,70.0,0.4341534008683068,0.9435600578871202,36,0.5070422535211268,36,0.5070422535211268
D11,GARQ,2,instrumented_legacy,0.0200394559235801,CD4 TCM,0.1155643235385733,Common,1113,0.9001814882032668,0.8912848158131177,0.8957110609480813,24,0.8859250163661953,0.9001814882032668,46.0,70.1,74.0,0.0628930817610062,0.8912848158131177,24,0.4067796610169492,22,0.3728813559322034
D11,GARQ,2,instrumented_legacy,0.0200394559235801,CD4 TEM,0.0296957740629218,Intermediate,286,0.8082191780821918,0.8251748251748252,0.8166089965397925,5,0.7687637057458029,0.8082191780821918,56.0,70.95,74.0,0.0,0.8251748251748252,5,0.2272727272727272,3,0.1363636363636363
D11,GARQ,2,instrumented_legacy,0.0200394559235801,CD8 Naive,0.1405876855985879,Common,1354,0.9637943519188994,0.98301329394387,0.973308957952468,32,0.9495484385921932,0.9637943519188994,44.0,66.79999999999998,68.0,0.5022156573116692,0.98301329394387,31,0.7380952380952381,30,0.7142857142857143
D11,GARQ,2,instrumented_legacy,0.0200394559235801,CD8 TEM_1,0.0334337036652476,Intermediate,322,0.8855218855218855,0.8167701863354038,0.8497576736672051,8,0.8749752720394635,0.8855218855218855,51.0,68.0,75.0,0.0,0.8167701863354038,8,0.32,7,0.28
D11,GARQ,2,instrumented_legacy,0.0200394559235801,CD8 TEM_2,0.0327068840203509,Intermediate,315,0.7588832487309645,0.9492063492063492,0.843441466854725,6,0.7487519259151137,0.7588832487309645,62.0,71.5,75.0,0.0,0.9492063492063492,4,0.3636363636363636,4,0.3636363636363636
D11,GARQ,2,instrumented_legacy,0.0200394559235801,HSPC,0.0017651334233205,Rare,17,0.9444444444444444,1.0,0.9714285714285714,1,0.9444444444444444,0.9444444444444444,18.0,18.0,18.0,0.0,1.0,1,1.0,1,1.0
D11,GARQ,2,instrumented_legacy,0.0200394559235801,Intermediate B,0.0311494133527151,Intermediate,300,0.9233226837060704,0.9633333333333334,0.9429037520391518,7,0.9062000840689366,0.9233226837060704,57.0,61.55,62.0,0.2933333333333333,0.9633333333333334,7,0.7,6,0.6
D11,GARQ,2,instrumented_legacy,0.0200394559235801,MAIT,0.0134980791195099,Intermediate,130,0.9495798319327732,0.8692307692307693,0.9076305220883534,2,0.9452544311034876,0.9495798319327732,63.0,69.4,70.0,0.0,0.8692307692307693,2,0.2857142857142857,2,0.2857142857142857
D11,GARQ,2,instrumented_legacy,0.0200394559235801,Memory B,0.0309417505970304,Intermediate,298,0.9798657718120806,0.9798657718120806,0.9798657718120806,5,0.9799387763685194,0.9798657718120806,57.5,63.65,65.0,0.0,0.9798657718120806,5,0.5,5,0.5
D11,GARQ,2,instrumented_legacy,0.0200394559235801,NK,0.0418440452704807,Intermediate,403,0.9875,0.98014888337469,0.9838107098381071,6,0.987477715588723,0.9875,64.0,73.8,75.0,0.4813895781637717,0.98014888337469,6,0.6666666666666666,6,0.6666666666666666
D11,GARQ,2,instrumented_legacy,0.0200394559235801,Naive B,0.0129789222302979,Intermediate,125,0.9035087719298246,0.824,0.8619246861924686,2,0.903697996918336,0.9035087719298246,56.0,63.4,65.0,0.0,0.824,2,0.2222222222222222,2,0.2222222222222222
D11,GARQ,2,instrumented_legacy,0.0200394559235801,Plasma,0.0012459765341086,Rare,12,1.0,1.0,1.0,1,1.0,1.0,12.0,12.0,12.0,1.0,1.0,1,1.0,1,1.0
D11,GARQ,2,instrumented_legacy,0.0200394559235801,Treg,0.0163015263212542,Intermediate,157,0.908450704225352,0.821656050955414,0.8628762541806021,3,0.8883232826322258,0.908450704225352,45.0,73.1,74.0,0.0,0.821656050955414,3,0.1578947368421052,3,0.1578947368421052
D11,GARQ,2,instrumented_legacy,0.0200394559235801,cDC,0.0186896480116291,Intermediate,180,0.967032967032967,0.9777777777777776,0.9723756906077348,3,0.9680804926706568,0.967032967032967,65.0,73.75,74.0,0.3222222222222222,0.9777777777777776,3,0.5,3,0.5
D11,GARQ,2,instrumented_legacy,0.0200394559235801,gdT,0.0148478870314609,Intermediate,143,0.6814159292035398,0.5384615384615384,0.6015625,2,0.6823308270676691,0.6814159292035398,64.0,75.0,75.0,0.0,0.5384615384615384,2,0.1538461538461538,1,0.0769230769230769
D11,GARQ,2,instrumented_legacy,0.0200394559235801,pDC,0.0101754750285536,Intermediate,98,1.0,1.0,1.0,2,1.0,1.0,49.0,58.9,60.0,1.0,1.0,2,1.0,2,1.0
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Endothelial Cells,0.0043362448119928,Rare,70,0.7288135593220338,0.6142857142857143,0.6666666666666667,1,0.7288135593220338,0.7288135593220338,61.0,80.5,85.0,0.0,0.6142857142857143,1,0.0625,1,0.0625
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Injured PT-like,0.012327324536951,Intermediate,199,0.0,0.0,0.0,0,,,53.5,74.0,84.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Low Quality / Dying,0.038530632472279,Intermediate,622,0.6433962264150943,0.5482315112540193,0.5920138888888888,12,0.6446288453577835,0.6433962264150943,53.5,69.44999999999997,85.0,0.0,0.5482315112540193,11,0.1122448979591836,4,0.0408163265306122
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.0,0.0,0.0,0,,,61.0,76.0,85.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Myeloid Cells,0.0422474137397014,Intermediate,682,0.8951367781155015,0.8636363636363636,0.8791044776119403,10,0.9079926803097134,0.8951367781155015,64.0,77.39999999999999,85.0,0.2404692082111437,0.8636363636363636,10,0.2702702702702703,9,0.2432432432432432
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Parietal Epithelial Cells,0.0388403642445642,Intermediate,627,0.7341772151898734,0.5550239234449761,0.6321525885558583,9,0.7008538309401757,0.7341772151898734,54.0,72.79999999999998,85.0,0.0,0.5550239234449761,6,0.0530973451327433,5,0.0442477876106194
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Podocytes,0.0898222139627083,Intermediate,1450,0.8040885860306644,0.6510344827586206,0.7195121951219512,23,0.7795518746033928,0.8040885860306644,51.5,70.0,85.0,0.0,0.6510344827586206,22,0.1294117647058823,16,0.0941176470588235
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Proximal Tubule,0.4100848665056061,Common,6620,0.8317862165963432,0.8933534743202417,0.861471230881282,151,0.8127897073031513,0.8317862165963432,52.0,72.59999999999997,85.0,0.0347432024169184,0.8933534743202417,136,0.5333333333333333,117,0.4588235294117647
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Stressed Tumor (p53+),0.0620702471659542,Intermediate,1002,0.7298969072164948,0.7065868263473054,0.7180527383367139,17,0.7107305172409341,0.7298969072164948,55.0,71.0,84.0,0.0,0.7065868263473054,15,0.1145038167938931,10,0.0763358778625954
D17,GARQ,0,instrumented_legacy,0.0200086724896239,T Cells,0.0054512791922195,Rare,88,0.7611940298507462,0.5795454545454546,0.6580645161290323,1,0.7611940298507462,0.7611940298507462,61.0,79.89999999999999,85.0,0.0,0.5795454545454546,1,0.0555555555555555,1,0.0555555555555555
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Tumor (Neuronal-like),0.0885832868735675,Intermediate,1430,0.6716929403701165,0.6853146853146853,0.6784354447905849,31,0.6563522896783607,0.6716929403701165,52.0,72.0,85.0,0.0,0.6853146853146853,26,0.1656050955414012,14,0.0891719745222929
D17,GARQ,0,instrumented_legacy,0.0200086724896239,Tumor Epithelial,0.2031220962646348,Common,3279,0.8492586490939045,0.9432753888380604,0.8938014737754659,68,0.8592670737254622,0.8492586490939045,54.5,69.0,74.0,0.1210734980176883,0.9432753888380604,65,0.4710144927536231,57,0.4130434782608695
D17,GARQ,1,instrumented_legacy,0.0200086724896239,Endothelial Cells,0.0043362448119928,Rare,70,0.75,0.6,0.6666666666666665,1,0.75,0.75,59.0,90.99999999999991,167.0,0.0,0.6,1,0.0588235294117647,1,0.0588235294117647
D17,GARQ,1,instrumented_legacy,0.0200086724896239,Injured PT-like,0.012327324536951,Intermediate,199,0.0,0.0,0.0,0,,,55.5,68.0,77.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,1,instrumented_legacy,0.0200086724896239,Low Quality / Dying,0.038530632472279,Intermediate,622,0.6076642335766423,0.5353697749196141,0.5692307692307692,13,0.6218244021185433,0.6076642335766423,57.0,68.79999999999995,167.0,0.0,0.5353697749196141,11,0.1134020618556701,4,0.0412371134020618
D17,GARQ,1,instrumented_legacy,0.0200086724896239,Mast Cells,0.0045840302298209,Rare,74,0.0,0.0,0.0,0,,,57.0,75.19999999999999,167.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,1,instrumented_legacy,0.0200086724896239,Myeloid Cells,0.0422474137397014,Intermediate,682,0.8859784283513097,0.843108504398827,0.8640120210368144,9,0.8751219159540041,0.8859784283513097,58.0,100.35,167.0,0.1466275659824047,0.843108504398827,9,0.2647058823529412,7,0.2058823529411764
D17,GARQ,1,instrumented_legacy,0.0200086724896239,Parietal Epithelial Cells,0.0388403642445642,Intermediate,627,0.6997840172786177,0.5167464114832536,0.5944954128440366,8,0.678391797848501,0.6997840172786177,54.5,70.0,167.0,0.0,0.5167464114832536,7,0.0614035087719298,3,0.0263157894736842
D17,GARQ,1,instrumented_legacy,0.0200086724896239,Podocytes,0.0898222139627083,Intermediate,1450,0.7559845559845559,0.6751724137931034,0.7132969034608379,26,0.7105954676198405,0.7559845559845559,53.0,68.0,81.0,0.0,0.6751724137931034,20,0.1149425287356321,17,0.0977011494252873
D17,GARQ,1,instrumented_legacy,0.0200086724896239,Proximal Tubule,0.4100848665056061,Common,6620,0.8349624592718515,0.890332326283988,0.8617589005044229,148,0.8163858450645384,0.8349624592718515,54.0,70.0,167.0,0.0758308157099697,0.890332326283988,137,0.524904214559387,118,0.4521072796934866
