condition,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
ADT_cell_permutation,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,B.Activated,0.0331151781165497,Intermediate,845,0.8403508771929824,0.5668639053254438,0.6770318021201414,11,0.8526209655155635,0.8403508771929824,50.0,85.79999999999998,95.0,0.0579881656804733,0.5668639053254438,11,0.1235955056179775,8,0.0898876404494382
ADT_cell_permutation,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,B.Naive,0.1615393659129207,Common,4122,0.9150772025431426,0.977680737506065,0.9453436547032606,87,0.9169207028774448,0.9150772025431426,49.0,84.0,95.0,0.0560407569141193,0.977680737506065,87,0.8613861386138614,85,0.8415841584158416
ADT_cell_permutation,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.0,0.0,0.0,0,,,58.0,65.2,66.0,0.0,0.0,0,0.0,0,0.0
ADT_cell_permutation,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,Mono.CD14,0.133597209703335,Common,3409,0.9752258816671524,0.9815195071868584,0.9783625730994152,68,0.969666368802518,0.9752258816671524,48.0,85.35,97.0,0.5910824288647697,0.9815195071868584,67,0.9054054054054054,66,0.8918918918918919
ADT_cell_permutation,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,Mono.CD16,0.0062311400242975,Rare,159,0.6685082872928176,0.7610062893081762,0.7117647058823529,3,0.6679871722316545,0.6685082872928176,50.5,84.0,97.0,0.0,0.7610062893081762,3,0.1363636363636363,1,0.0454545454545454
ADT_cell_permutation,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,NK,0.0550221421013442,Intermediate,1404,0.9000657462195923,0.9750712250712252,0.936068376068376,32,0.8904230239581734,0.9000657462195923,48.0,80.0,88.0,0.0299145299145299,0.9750712250712252,31,0.62,30,0.6
ADT_cell_permutation,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.92,0.7301587301587301,0.8141592920353983,1,0.92,0.92,53.5,74.79999999999998,85.0,0.0,0.7301587301587301,1,0.0555555555555555,1,0.0555555555555555
ADT_cell_permutation,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,T.CD4.Memory,0.2269467413880942,Common,5791,0.8910394265232975,0.6439302365739942,0.7475942261427427,84,0.8955019590790624,0.8910394265232975,50.0,64.30000000000001,87.0,0.0770160594025211,0.6439302365739942,83,0.2634920634920635,75,0.238095238095238
ADT_cell_permutation,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,T.CD4.Naive,0.2074303405572755,Common,5293,0.7112106327650968,0.9300963536746648,0.8060581252558329,140,0.709774285889426,0.7112106327650968,49.0,61.5,84.0,0.0,0.9300963536746648,135,0.6398104265402843,73,0.3459715639810427
ADT_cell_permutation,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,T.CD8.Effector,0.113375396794294,Common,2893,0.8391009632536568,0.8129968890425164,0.8258426966292135,56,0.826300414263797,0.8391009632536568,50.0,67.0,88.0,0.0497753197372969,0.8129968890425164,56,0.253393665158371,44,0.1990950226244343
