dataset,method,seed,path,sha256,available
D17 Human_Kidney_Cancer,GARQ,0,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/GARQ/full_seed0_K002/cell_assignments.csv,057032c0a7ecaa36d32a6e574df4a7c6dd71bf88968986ca8158cd36c8374d9e,True
D17 Human_Kidney_Cancer,GARQ,1,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/GARQ/full_seed1_K002/cell_assignments.csv,d356e50f525fc25f342baa6a2a45d10ddef5920fda78df0d7068c903ea98bbb7,True
D17 Human_Kidney_Cancer,GARQ,2,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/GARQ/full_seed2_K002/cell_assignments.csv,256d8a115c138410a406500ffd9757c097e008d87d1533eb4eebd070b1cf332d,True
D17 Human_Kidney_Cancer,MetaQ,0,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/MetaQ/full_seed0_K002/cell_assignments.csv,8288c9411ff712c48d5864201fb27d255e9b636a582dcc34e363b7bed37fc2fc,True
D17 Human_Kidney_Cancer,MetaQ,1,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/MetaQ/full_seed1_K002/cell_assignments.csv,2ac8c4df1d9f974f74e9265a7d440c07cf317cb064b64832721454817d636c70,True
D17 Human_Kidney_Cancer,MetaQ,2,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/MetaQ/full_seed2_K002/cell_assignments.csv,4233b721d757222463e43c7236c3b09065c6ce9b27ca14a00e09d94d5a26a469,True
D17 Human_Kidney_Cancer,SEACells,0,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/SEACells/full_seed0_K002/cell_assignments.csv,091d79e67640798997c2c7e8f178fe58865e66e8cad3205a54f4a7a87c01043d,True
D17 Human_Kidney_Cancer,SEACells,1,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/SEACells/full_seed1_K002/cell_assignments.csv,808cbc0366536aab5388c659a372e608e0390a4d50522443ecc3e9c62cb35e6b,True
D17 Human_Kidney_Cancer,SEACells,2,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/SEACells/full_seed2_K002/cell_assignments.csv,2de34da32690e141ab0f7de6dbb0d229d9d8e28ee6cf356f8dfba97c753a1039,True
D17 Human_Kidney_Cancer,KMeans,0,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/KMeans/full_seed0_K002/cell_assignments.csv,e061a730bed18bdd4e3f36ec5ab3489db3a268484d8341557c52a2953f16f4ed,True
D17 Human_Kidney_Cancer,KMeans,1,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/KMeans/full_seed1_K002/cell_assignments.csv,aeffdc4e8210e78a1aa14ec8bb84db1c8f9fd1cd8d60f1e2dfe495f9ed237233,True
D17 Human_Kidney_Cancer,KMeans,2,/data/zhangpeiru/GARQ_revision/revision_results/phase2/01_size_resolution/D17/KMeans/full_seed2_K002/cell_assignments.csv,20398a201a15da82e45db5d5a835208a67b72c2fa1d0c70619a58f5f0564c120,True
