dataset,method,seed,metric,quantile,value
D17 Human_Kidney_Cancer,GARQ,0,max_purity,0.01,0.041666666666666664
D17 Human_Kidney_Cancer,GARQ,0,max_purity,0.05,0.04477611940298507
D17 Human_Kidney_Cancer,GARQ,0,max_purity,0.5,0.058823529411764705
D17 Human_Kidney_Cancer,GARQ,0,max_purity,0.95,0.09523809523809523
D17 Human_Kidney_Cancer,GARQ,0,max_purity,0.99,0.1111111111111111
D17 Human_Kidney_Cancer,GARQ,0,max_fold_enrichment,0.01,9.089527027027026
D17 Human_Kidney_Cancer,GARQ,0,max_fold_enrichment,0.05,9.76784993949173
D17 Human_Kidney_Cancer,GARQ,0,max_fold_enrichment,0.5,12.832273449920509
D17 Human_Kidney_Cancer,GARQ,0,max_fold_enrichment,0.95,20.776061776061777
D17 Human_Kidney_Cancer,GARQ,0,max_fold_enrichment,0.99,24.23873873873874
D17 Human_Kidney_Cancer,GARQ,0,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,GARQ,0,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,GARQ,0,top1_capture,0.5,0.02702702702702703
D17 Human_Kidney_Cancer,GARQ,0,top1_capture,0.95,0.04054054054054054
D17 Human_Kidney_Cancer,GARQ,0,top1_capture,0.99,0.05405405405405406
D17 Human_Kidney_Cancer,GARQ,0,top3_capture,0.01,0.04054054054054054
D17 Human_Kidney_Cancer,GARQ,0,top3_capture,0.05,0.04054054054054054
D17 Human_Kidney_Cancer,GARQ,0,top3_capture,0.5,0.06756756756756757
D17 Human_Kidney_Cancer,GARQ,0,top3_capture,0.95,0.0945945945945946
D17 Human_Kidney_Cancer,GARQ,0,top3_capture,0.99,0.10810810810810811
D17 Human_Kidney_Cancer,GARQ,0,hhi,0.01,0.014609203798392994
D17 Human_Kidney_Cancer,GARQ,0,hhi,0.05,0.015321402483564667
D17 Human_Kidney_Cancer,GARQ,0,hhi,0.5,0.01680058436815194
D17 Human_Kidney_Cancer,GARQ,0,hhi,0.95,0.01862673484295107
D17 Human_Kidney_Cancer,GARQ,0,hhi,0.99,0.01972242512783054
D17 Human_Kidney_Cancer,GARQ,0,normalized_hhi,0.01,0.0005321924240843216
D17 Human_Kidney_Cancer,GARQ,0,normalized_hhi,0.05,0.0008593649293172392
D17 Human_Kidney_Cancer,GARQ,0,normalized_hhi,0.5,0.0015328596409677525
D17 Human_Kidney_Cancer,GARQ,0,normalized_hhi,0.95,0.0026418310202094056
D17 Human_Kidney_Cancer,GARQ,0,normalized_hhi,0.99,0.003281083476032529
D17 Human_Kidney_Cancer,GARQ,1,max_purity,0.01,0.04081632653061224
D17 Human_Kidney_Cancer,GARQ,1,max_purity,0.05,0.047619047619047616
D17 Human_Kidney_Cancer,GARQ,1,max_purity,0.5,0.0625
D17 Human_Kidney_Cancer,GARQ,1,max_purity,0.95,0.1
D17 Human_Kidney_Cancer,GARQ,1,max_purity,0.99,0.125
D17 Human_Kidney_Cancer,GARQ,1,max_fold_enrichment,0.01,8.904026475455046
D17 Human_Kidney_Cancer,GARQ,1,max_fold_enrichment,0.05,10.388030888030888
D17 Human_Kidney_Cancer,GARQ,1,max_fold_enrichment,0.5,13.63429054054054
D17 Human_Kidney_Cancer,GARQ,1,max_fold_enrichment,0.95,21.814864864864866
D17 Human_Kidney_Cancer,GARQ,1,max_fold_enrichment,0.99,27.26858108108108
D17 Human_Kidney_Cancer,GARQ,1,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,GARQ,1,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,GARQ,1,top1_capture,0.5,0.02702702702702703
D17 Human_Kidney_Cancer,GARQ,1,top1_capture,0.95,0.04054054054054054
D17 Human_Kidney_Cancer,GARQ,1,top1_capture,0.99,0.05405405405405406
D17 Human_Kidney_Cancer,GARQ,1,top3_capture,0.01,0.04054054054054054
D17 Human_Kidney_Cancer,GARQ,1,top3_capture,0.05,0.04054054054054054
D17 Human_Kidney_Cancer,GARQ,1,top3_capture,0.5,0.06756756756756757
D17 Human_Kidney_Cancer,GARQ,1,top3_capture,0.95,0.0945945945945946
D17 Human_Kidney_Cancer,GARQ,1,top3_capture,0.99,0.10810810810810811
D17 Human_Kidney_Cancer,GARQ,1,hhi,0.01,0.014609203798392995
D17 Human_Kidney_Cancer,GARQ,1,hhi,0.05,0.015339663988312642
D17 Human_Kidney_Cancer,GARQ,1,hhi,0.5,0.01680058436815194
D17 Human_Kidney_Cancer,GARQ,1,hhi,0.95,0.018991964937910888
D17 Human_Kidney_Cancer,GARQ,1,hhi,0.99,0.020087655222790362
D17 Human_Kidney_Cancer,GARQ,1,normalized_hhi,0.01,0.0005321924240843234
D17 Human_Kidney_Cancer,GARQ,1,normalized_hhi,0.05,0.0008593649293172392
D17 Human_Kidney_Cancer,GARQ,1,normalized_hhi,0.5,0.001532859640967756
D17 Human_Kidney_Cancer,GARQ,1,normalized_hhi,0.95,0.002736130541902421
D17 Human_Kidney_Cancer,GARQ,1,normalized_hhi,0.99,0.003478971413007152
D17 Human_Kidney_Cancer,GARQ,2,max_purity,0.01,0.041666666666666664
D17 Human_Kidney_Cancer,GARQ,2,max_purity,0.05,0.044444444444444446
D17 Human_Kidney_Cancer,GARQ,2,max_purity,0.5,0.058823529411764705
D17 Human_Kidney_Cancer,GARQ,2,max_purity,0.95,0.09090909090909091
D17 Human_Kidney_Cancer,GARQ,2,max_purity,0.99,0.11764705882352941
D17 Human_Kidney_Cancer,GARQ,2,max_fold_enrichment,0.01,9.089527027027026
D17 Human_Kidney_Cancer,GARQ,2,max_fold_enrichment,0.05,9.695495495495496
D17 Human_Kidney_Cancer,GARQ,2,max_fold_enrichment,0.5,12.832273449920509
D17 Human_Kidney_Cancer,GARQ,2,max_fold_enrichment,0.95,19.831695331695332
D17 Human_Kidney_Cancer,GARQ,2,max_fold_enrichment,0.99,25.664546899841017
D17 Human_Kidney_Cancer,GARQ,2,top1_capture,0.01,0.013513513513513514
