dataset,method,seed,rank,metacell_id,size,mast_count,purity,fold_enrichment,q_value,cumulative_capture
D17 Human_Kidney_Cancer,GARQ,0,1,80,74,20,0.2702702702702703,58.9590942293645,1.6067285553978162e-28,0.2702702702702703
D17 Human_Kidney_Cancer,GARQ,0,2,241,67,6,0.08955223880597014,19.53569987898346,6.501127346159864e-05,0.35135135135135137
D17 Human_Kidney_Cancer,GARQ,0,3,52,79,7,0.08860759493670886,19.32962709544988,1.1451517436075999e-05,0.44594594594594594
D17 Human_Kidney_Cancer,GARQ,0,4,10,63,4,0.06349206349206349,13.85070785070785,0.012758198336984657,0.5
D17 Human_Kidney_Cancer,GARQ,0,5,212,85,5,0.058823529411764705,12.832273449920509,0.00351453634137421,0.5675675675675675
D17 Human_Kidney_Cancer,GARQ,1,1,34,29,5,0.1724137931034483,37.611835973904945,1.2424906893872563e-05,0.06756756756756757
D17 Human_Kidney_Cancer,GARQ,1,2,12,65,10,0.15384615384615385,33.561330561330564,1.0309343977699198e-10,0.20270270270270271
D17 Human_Kidney_Cancer,GARQ,1,3,135,71,8,0.11267605633802817,24.58012942519985,1.2018485720122842e-07,0.3108108108108108
D17 Human_Kidney_Cancer,GARQ,1,4,108,77,8,0.1038961038961039,22.664794664794666,1.7441995904559613e-07,0.4189189189189189
D17 Human_Kidney_Cancer,GARQ,1,5,9,167,12,0.0718562874251497,15.675351998705292,2.053147465069955e-09,0.581081081081081
D17 Human_Kidney_Cancer,GARQ,2,1,180,72,11,0.1527777777777778,33.32826576576577,3.38358256500619e-12,0.14864864864864866
D17 Human_Kidney_Cancer,GARQ,2,2,263,103,15,0.14563106796116504,31.769220676987665,1.7749963722709324e-16,0.35135135135135137
D17 Human_Kidney_Cancer,GARQ,2,3,210,62,7,0.11290322580645161,24.629686137750653,1.3778784101942444e-06,0.44594594594594594
D17 Human_Kidney_Cancer,GARQ,2,4,100,79,7,0.08860759493670886,19.32962709544988,5.7257587180379994e-06,0.5405405405405406
