status,dataset,method,seed,cells,realized_K,factors,dominant_cell_types,ARI,NMI,AMI,ACC,balanced_accuracy,wall_time_seconds
PASS,D18,GARQ,0,25517,497,15,10,0.6534031714037416,0.7470417197070593,0.7379512035488425,0.7464788732394366,0.47651177260372657,44.08056515827775
PASS,D18,GARQ,1,25517,493,15,10,0.6277477435017572,0.752198786593892,0.7428010874078383,0.7565922920892495,0.6394497915877226,40.93193981004879
PASS,D18,GARQ,2,25517,486,15,10,0.5885872802944592,0.7137637234266558,0.703599214636743,0.7119341563786008,0.37483076563958917,33.118748364038765
PASS,D18,KMeans,0,25517,510,15,10,0.6136955388070724,0.7509833521704957,0.741118852834243,0.6882352941176471,0.5744719839908519,48.36372345685959
PASS,D18,KMeans,1,25517,510,15,10,0.5042821477974874,0.6870389112223192,0.6753762943175374,0.6196078431372549,0.5909937260806826,41.645304523874074
PASS,D18,KMeans,2,25517,510,15,11,0.5699907605830518,0.7205144494996404,0.7078984373590609,0.6235294117647059,0.5649889528337403,57.13554190611467
PASS,D18,MetaQ,0,25517,511,15,10,0.6106568530578497,0.7089863458875671,0.6979644345493251,0.7181996086105675,0.4347188995215311,42.51702048629522
PASS,D18,MetaQ,1,25517,505,15,10,0.42453748309976647,0.591362888206394,0.5753258215856462,0.5801980198019802,0.48984247554623384,43.881223489996046
PASS,D18,MetaQ,2,25517,517,15,10,0.502200312796836,0.654633710816306,0.6414891994083962,0.6479690522243714,0.47253289281893884,39.54103635484353
PASS,D18,SEACells,0,25517,510,15,11,0.656369431923184,0.7753364013797573,0.764938866174144,0.7470588235294118,0.7179772367164924,45.976570286322385
PASS,D18,SEACells,1,25517,510,15,11,0.6398394764013815,0.7844228067236577,0.774114238473541,0.7313725490196078,0.6331040673423286,35.54578953096643
PASS,D18,SEACells,2,25517,510,15,11,0.6705293194212635,0.8067788438618254,0.7977444567392222,0.7568627450980392,0.6297856904999762,42.30394050292671
