status,method,seed,realized_K,gene,protein,prespecified,pearson_r,spearman_rho,partial_pearson_r,partial_ci_low,partial_ci_high
PASS,GARQ,0,497,CD14,CD14,False,0.6143135078015581,0.40351013289496224,0.03109431568430921,-0.04788773190038175,0.1066390977551307
PASS,GARQ,0,497,CD19,CD19,False,0.8594165480534168,0.549710300267892,-0.003697258284322721,-0.10038450538155215,0.0854953369859536
PASS,GARQ,0,497,CD24,CD24,False,0.48890359887102147,0.40320319429279067,0.05186205883399942,-0.05266363381504275,0.1601165854583735
PASS,GARQ,0,497,CD27,CD27,False,0.5901812630767674,0.5905710749212318,0.12956010567419207,0.0392610333941519,0.22559781937461512
PASS,GARQ,0,497,CD38,CD38,False,0.48107793489503536,0.5187929629365541,0.2996405980858477,0.2060013530552933,0.38529661684252176
PASS,GARQ,0,497,CD4,CD4,False,0.6347723010439541,0.6413033407777121,0.2352678606099992,0.11559259307927952,0.3395273680073643
PASS,GARQ,0,497,CD40,CD40,False,0.7161581843285155,0.5536791538673173,0.03311871860156253,-0.045392439825319264,0.10858009202672401
PASS,GARQ,0,497,CD80,CD80,False,0.11253128519428053,0.09112418254817918,0.05759278248407038,-0.020992884328617803,0.13263238300848465
PASS,GARQ,0,497,CD86,CD86,False,0.5468487531712241,0.4037837183235302,-0.03279004224169601,-0.1097105836855662,0.05322400741482694
PASS,GARQ,0,497,CD8A,CD8a,True,0.646729737539626,0.5927722437662125,0.28702770509667985,0.19180591762344112,0.37776904731862837
PASS,GARQ,0,497,FCGR3A,CD16,False,0.431836909393961,0.21993786666622675,0.20296597907756225,0.08362168894160728,0.30355157068598365
PASS,GARQ,0,497,IL2RA,CD25,False,0.17890607326157784,0.24483972113208025,0.2271821098098346,0.1441709099809593,0.30207343446424123
PASS,GARQ,0,497,IL7R,CD127,False,0.5517041710091308,0.7240252257077283,0.041547670162369835,-0.05450329311567793,0.13846292900712887
PASS,GARQ,0,497,KLRG1,KLRG1,False,0.4902129232095054,0.4928834025303482,0.2108756222605096,0.13059288527459495,0.2856476465552182
PASS,GARQ,0,497,NCAM1,CD56,True,0.5231444650603423,0.29747544553183186,0.14348749589099746,0.044024399801094356,0.24359245249301592
PASS,GARQ,1,493,CD14,CD14,False,0.5991377246079918,0.37088414161380073,0.025912546555361564,-0.05676682072567391,0.10421532782239207
PASS,GARQ,1,493,CD19,CD19,False,0.9040441976423096,0.5948820277794796,0.0025414176918958343,-0.07443547322988069,0.070682402066287
PASS,GARQ,1,493,CD24,CD24,False,0.5458156459903538,0.43102883267318837,0.10854660646693921,0.0086512687488942,0.21398624817032966
PASS,GARQ,1,493,CD27,CD27,False,0.6418799482365832,0.6591588609174988,0.1806009255338824,0.08990767762786932,0.26677282738091285
PASS,GARQ,1,493,CD38,CD38,False,0.4423191883883092,0.4827168285513727,0.2630708414016757,0.17733535336827733,0.34657072152096463
PASS,GARQ,1,493,CD4,CD4,False,0.7126901583639722,0.6984857520182995,0.2916543540447888,0.13721791452559093,0.42347724633819545
PASS,GARQ,1,493,CD40,CD40,False,0.7782902743742564,0.5962146021844562,0.04835565458004456,-0.04271626735597339,0.1458963878716911
PASS,GARQ,1,493,CD80,CD80,False,0.10979755481213727,0.10403641871623993,0.03318218433347568,-0.0478855257509441,0.115835030600428
PASS,GARQ,1,493,CD86,CD86,False,0.5692709912704897,0.43645301445013784,0.02679475993748353,-0.05963179244283532,0.11550861997705117
PASS,GARQ,1,493,CD8A,CD8a,True,0.6272736692246957,0.5774886161775058,0.2495669692347906,0.14950943735094407,0.3415617731390611
PASS,GARQ,1,493,FCGR3A,CD16,False,0.4642016005485506,0.3152395148058505,0.22762444939066942,0.11824067979376504,0.3289264226562001
PASS,GARQ,1,493,IL2RA,CD25,False,0.17388179002629614,0.2758927933399724,0.14805941324039298,0.06951182352956493,0.23176710799204697
PASS,GARQ,1,493,IL7R,CD127,False,0.5478307913897363,0.7528827796982942,-0.02723892219238229,-0.1341427695014583,0.07720530779146532
PASS,GARQ,1,493,KLRG1,KLRG1,False,0.47174221842083613,0.43773901720506014,0.22587494075811307,0.1396660932174845,0.316070929164773
PASS,GARQ,1,493,NCAM1,CD56,True,0.637894611582684,0.3880739204030197,0.3246493531599909,0.22986618976462175,0.412467755240143
PASS,GARQ,2,486,CD14,CD14,False,0.529382073222109,0.32818745979876773,0.0381558807515386,-0.046320094183288925,0.11537094336125972
PASS,GARQ,2,486,CD19,CD19,False,0.8911671992464126,0.5709746701666678,-0.02534568346231139,-0.11110302926741106,0.05043914084736917
PASS,GARQ,2,486,CD24,CD24,False,0.4672627455564762,0.38145809797487046,0.07414641786493222,-0.009469201102650286,0.1627276167583683
PASS,GARQ,2,486,CD27,CD27,False,0.5467387073726742,0.581847045923228,0.11132063592602795,0.018125623169385072,0.20385913162533753
PASS,GARQ,2,486,CD38,CD38,False,0.44765331337866077,0.4656440701838687,0.2773671535746816,0.18139588094124884,0.3545779688934173
PASS,GARQ,2,486,CD4,CD4,False,0.6860557994257683,0.6752250610663368,0.2689762423791258,0.13327889612903968,0.3912260352893922
PASS,GARQ,2,486,CD40,CD40,False,0.7539410006395958,0.5736571890907325,0.0024141251725682375,-0.09574388868343703,0.09096449247943435
PASS,GARQ,2,486,CD80,CD80,False,0.061263610279880046,0.06107211371932376,0.009964052565729627,-0.0704742214250019,0.10045212515432406
PASS,GARQ,2,486,CD86,CD86,False,0.4908265173584381,0.4149528355379277,0.04918858903093829,-0.029215744542685686,0.13390791098428476
PASS,GARQ,2,486,CD8A,CD8a,True,0.6422656921880385,0.5390910863568125,0.3928199532819827,0.3059935440578961,0.4690093227793969
PASS,GARQ,2,486,FCGR3A,CD16,False,0.24580296595923773,0.10689460840279051,0.13362523778684882,0.003897444480577041,0.25416612473469696
PASS,GARQ,2,486,IL2RA,CD25,False,0.1519234562779504,0.21741484074736367,0.13052153931230864,0.022791661315196637,0.22616626198731724
PASS,GARQ,2,486,IL7R,CD127,False,0.6013063813988332,0.7134211805508487,0.1990056941604362,0.08059498294768232,0.31134919033115643
