status,method,seed,realized_K,gene,protein,prespecified,pearson_r,spearman_rho,partial_pearson_r,partial_ci_low,partial_ci_high
PASS,GARQ,1,493,IL7R,CD127,False,0.5478307913897363,0.7528827796982942,-0.02723892219238229,-0.1341427695014583,0.07720530779146532
PASS,GARQ,1,493,CD14,CD14,False,0.5991377246079918,0.37088414161380073,0.025912546555361564,-0.05676682072567391,0.10421532782239207
PASS,GARQ,1,493,FCGR3A,CD16,False,0.4642016005485506,0.3152395148058505,0.22762444939066942,0.11824067979376504,0.3289264226562001
PASS,GARQ,1,493,CD19,CD19,False,0.9040441976423096,0.5948820277794796,0.0025414176918958343,-0.07443547322988069,0.070682402066287
PASS,GARQ,1,493,CD24,CD24,False,0.5458156459903538,0.43102883267318837,0.10854660646693921,0.0086512687488942,0.21398624817032966
PASS,GARQ,1,493,IL2RA,CD25,False,0.17388179002629614,0.2758927933399724,0.14805941324039298,0.06951182352956493,0.23176710799204697
PASS,GARQ,1,493,CD27,CD27,False,0.6418799482365832,0.6591588609174988,0.1806009255338824,0.08990767762786932,0.26677282738091285
PASS,GARQ,1,493,CD38,CD38,False,0.4423191883883092,0.4827168285513727,0.2630708414016757,0.17733535336827733,0.34657072152096463
PASS,GARQ,1,493,CD4,CD4,False,0.7126901583639722,0.6984857520182995,0.2916543540447888,0.13721791452559093,0.42347724633819545
PASS,GARQ,1,493,CD40,CD40,False,0.7782902743742564,0.5962146021844562,0.04835565458004456,-0.04271626735597339,0.1458963878716911
PASS,GARQ,1,493,NCAM1,CD56,True,0.637894611582684,0.3880739204030197,0.3246493531599909,0.22986618976462175,0.412467755240143
PASS,GARQ,1,493,CD80,CD80,False,0.10979755481213727,0.10403641871623993,0.03318218433347568,-0.0478855257509441,0.115835030600428
PASS,GARQ,1,493,CD86,CD86,False,0.5692709912704897,0.43645301445013784,0.02679475993748353,-0.05963179244283532,0.11550861997705117
PASS,GARQ,1,493,CD8A,CD8a,True,0.6272736692246957,0.5774886161775058,0.2495669692347906,0.14950943735094407,0.3415617731390611
PASS,GARQ,1,493,KLRG1,KLRG1,False,0.47174221842083613,0.43773901720506014,0.22587494075811307,0.1396660932174845,0.316070929164773
