status,method,seed,realized_K,gene,protein,prespecified,pearson_r,spearman_rho,partial_pearson_r,partial_ci_low,partial_ci_high
PASS,MetaQ,0,511,IL7R,CD127,False,0.6153195500773418,0.6135001190830588,0.13121575433608432,0.034472469161327166,0.22602120535424286
PASS,MetaQ,0,511,CD14,CD14,False,0.38070128394627506,0.19674536592929284,-0.05553668877945654,-0.14009104111298185,0.041733203689890426
PASS,MetaQ,0,511,FCGR3A,CD16,False,0.5312639696802497,0.32836160751687,0.31111803921762543,0.21652012083884786,0.40072523306934577
PASS,MetaQ,0,511,CD19,CD19,False,0.7550239528780197,0.2644564551672109,0.1817730460055391,0.01323580932227587,0.33875615182011837
PASS,MetaQ,0,511,CD24,CD24,False,0.3469840795379341,0.24764019868900117,0.0003952118402970395,-0.12832461964639763,0.1374328355292159
PASS,MetaQ,0,511,IL2RA,CD25,False,0.16789342777652524,0.23971724397867708,0.01941300348869669,-0.06663333986100721,0.10627273339608345
PASS,MetaQ,0,511,CD27,CD27,False,0.5537363850204106,0.5529999385337087,0.10229022342468515,0.01355354058244956,0.18849460330947032
PASS,MetaQ,0,511,CD38,CD38,False,0.4133833656993388,0.4453525293343454,0.3227289474811583,0.24007765560516403,0.399379667125663
PASS,MetaQ,0,511,CD4,CD4,False,0.6931358794645414,0.6132725922597855,0.3217026195024004,0.17761997729289616,0.43731256360021986
PASS,MetaQ,0,511,CD40,CD40,False,0.47126281358873606,0.23595009262675326,0.04556528523738824,-0.06957323865714413,0.15556662020300743
PASS,MetaQ,0,511,NCAM1,CD56,True,0.7137341683937237,0.4140527946163034,0.3630873787661851,0.2728138223736676,0.45262672681391447
PASS,MetaQ,0,511,CD80,CD80,False,-0.02488177461789372,-0.0225523646001471,-0.06933890219254611,-0.15830113813834423,0.024916179801885763
PASS,MetaQ,0,511,CD86,CD86,False,0.3287416812304603,0.22298796500299797,0.05808992541405492,-0.039527091711078266,0.14588619333116104
PASS,MetaQ,0,511,CD8A,CD8a,True,0.6712882993634358,0.6339282631194468,0.3024063000764488,0.1968493345093026,0.3939524686630965
PASS,MetaQ,0,511,KLRG1,KLRG1,False,0.5233096642192369,0.5285607631928588,0.26784806963399477,0.19202935274057942,0.34329985831084464
