status,method,seed,realized_K,gene,protein,prespecified,pearson_r,spearman_rho,partial_pearson_r,partial_ci_low,partial_ci_high
PASS,SEACells,1,510,IL7R,CD127,False,0.5668815625377116,0.7649242945545952,0.12027609108735597,0.03760922824927124,0.20578556985139654
PASS,SEACells,1,510,CD14,CD14,False,0.6358139595171844,0.41767596176532873,0.05768560322736432,-0.02321674996381003,0.12713779318494473
PASS,SEACells,1,510,FCGR3A,CD16,False,0.5462490956972046,0.42295832147561196,0.4091204136046978,0.33219012362659145,0.47078062432614076
PASS,SEACells,1,510,CD19,CD19,False,0.9000359300147277,0.6323259655299502,0.1857628392393749,0.017169286009162954,0.31953336280481176
PASS,SEACells,1,510,CD24,CD24,False,0.4617481009758902,0.39851332817805335,0.020194834466911876,-0.09404800269709225,0.13159643258566828
PASS,SEACells,1,510,IL2RA,CD25,False,0.14214455100133525,0.276244598540237,0.06558276709878853,-0.031308037371155624,0.16575079011126165
PASS,SEACells,1,510,CD27,CD27,False,0.6236462076799698,0.6272739590532834,0.1320782821106361,0.03951646918746709,0.2289991154685554
PASS,SEACells,1,510,CD38,CD38,False,0.5194941265388439,0.5409381377363274,0.28863007956607917,0.20825145248284543,0.3684503137202739
PASS,SEACells,1,510,CD4,CD4,False,0.6858925811895984,0.7346828329158486,0.45184428517584374,0.363649499832114,0.5269297655506632
PASS,SEACells,1,510,CD40,CD40,False,0.7070979380587314,0.5823347084997983,0.03100939106691866,-0.07459816392903242,0.12437917571802634
PASS,SEACells,1,510,NCAM1,CD56,True,0.6877438796753617,0.4995968992947976,0.29085370686202483,0.1985038746115371,0.3806883918496603
PASS,SEACells,1,510,CD80,CD80,False,0.16344277626128562,0.14378802868162346,0.0798338396929375,-0.007198133222261698,0.17051497026806456
PASS,SEACells,1,510,CD86,CD86,False,0.6204698955021153,0.48230456120858856,0.03793967715350778,-0.05915017152644921,0.13160237780246514
PASS,SEACells,1,510,CD8A,CD8a,True,0.6894529912391383,0.7175817648661033,0.3207141530533309,0.2424206615173173,0.39067060147560206
PASS,SEACells,1,510,KLRG1,KLRG1,False,0.583665526073665,0.6143177348839154,0.29855834623226435,0.22657068145198078,0.3714263605314376
