dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Basal,0.24159970215010393,Common,7787,0.9194571283612379,0.9309104918453833,0.9251483632186842,162,0.9126219568665811,0.9194571283612379,51.0,72.59999999999997,98.0,0.18505200975985617,0.9309104918453833,155,0.47112462006079026,149,0.45288753799392095
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Dermal Fibroblast,0.03478018057149949,Intermediate,1121,0.9751552795031055,0.9803746654772525,0.9777580071174378,21,0.9749470593723188,0.9751552795031055,55.0,71.0,82.0,0.39250669045495096,0.9803746654772525,21,0.6,21,0.6
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Dermal Papilla,0.023765939623343984,Intermediate,766,0.9489414694894147,0.9947780678851175,0.97131931166348,16,0.9476799899848605,0.9489414694894147,56.0,63.99999999999998,73.0,0.30548302872062666,0.9947780678851175,16,0.8421052631578947,16,0.8421052631578947
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Dermal Sheath,0.012348360274270113,Intermediate,398,0.928388746803069,0.9120603015075377,0.9201520912547528,8,0.9224249813227601,0.928388746803069,47.5,64.2,68.0,0.0,0.9120603015075377,8,0.4,8,0.4
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Endothelial,0.028761130588563805,Intermediate,927,0.9137055837563451,0.970873786407767,0.9414225941422594,22,0.9069965057813935,0.9137055837563451,44.0,73.0,88.0,0.2707659115426106,0.970873786407767,21,0.5121951219512195,20,0.4878048780487805
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Granular,0.009028574974403524,Rare,291,0.8953488372093024,0.5292096219931272,0.6652267818574514,3,0.7963156975729003,0.8953488372093024,51.0,76.29999999999998,115.0,0.0,0.5292096219931272,2,0.03333333333333333,2,0.03333333333333333
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Hair Shaft-Cuticle/Cortex,0.03617635195929385,Intermediate,1166,0.8903878583473862,0.9056603773584906,0.8979591836734694,22,0.8669350844215025,0.8903878583473862,47.0,85.69999999999999,89.0,0.1955403087478559,0.9056603773584906,21,0.3333333333333333,17,0.2698412698412698
D16,GARQ,0,instrumented_legacy,0.020011789891719152,IRS,0.02084949272439577,Intermediate,672,0.6968641114982579,0.5952380952380952,0.6420545746388443,11,0.6756235546970172,0.6968641114982579,56.5,75.89999999999999,91.0,0.0,0.5952380952380952,8,0.15384615384615385,5,0.09615384615384616
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Infundibulum,0.1284167416462412,Common,4139,0.8574399260628466,0.8965933800434888,0.8765796622180229,88,0.8502919900831304,0.8574399260628466,51.0,75.0,115.0,0.16380768301522106,0.8965933800434888,85,0.45454545454545453,72,0.3850267379679144
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Isthmus,0.021376935248673637,Intermediate,689,0.8376068376068376,0.8534107402031931,0.8454349388928829,14,0.8054783478153372,0.8376068376068376,48.0,71.6,75.0,0.0,0.8534107402031931,13,0.35135135135135137,10,0.2702702702702703
D16,GARQ,0,instrumented_legacy,0.020011789891719152,K6+ Bulge/Companion Layer,0.015947379851695573,Intermediate,514,0.8891013384321224,0.9046692607003891,0.896817743490839,9,0.8594759840883422,0.8891013384321224,51.0,66.8,112.0,0.0,0.9046692607003891,8,0.27586206896551724,8,0.27586206896551724
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Macrophage DC,0.008159846110887034,Rare,263,0.9785407725321889,0.8669201520912547,0.9193548387096774,4,0.9789523670368205,0.9785407725321889,56.0,74.99999999999999,91.0,0.21292775665399238,0.8669201520912547,4,0.12121212121212122,4,0.12121212121212122
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Medulla,0.030436536253917037,Intermediate,981,0.7941473259334006,0.8022426095820592,0.7981744421906695,19,0.8029302700791814,0.7941473259334006,55.0,72.6,75.0,0.05606523955147808,0.8022426095820592,16,0.18823529411764706,13,0.15294117647058825
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Melanocyte,0.00580186776705656,Rare,187,0.9479166666666666,0.9732620320855615,0.9604221635883904,4,0.94448084405904,0.9479166666666666,52.0,74.8,76.0,0.0,0.9732620320855615,4,0.4444444444444444,4,0.4444444444444444
D16,GARQ,0,instrumented_legacy,0.020011789891719152,ORS,0.03192578573423102,Intermediate,1029,0.9217148182665424,0.9611273080660836,0.9410085632730733,21,0.9265544867594115,0.9217148182665424,52.0,66.6,76.0,0.35471331389698735,0.9611273080660836,21,0.6,21,0.6
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Schwann Cell,0.005057243026899569,Rare,163,0.9672131147540983,0.7239263803680982,0.8280701754385965,2,0.9658932065977075,0.9672131147540983,57.0,76.75,84.0,0.0,0.7239263803680982,2,0.05555555555555555,2,0.05555555555555555
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Sebaceous Gland,0.005615711582017313,Rare,181,0.8926553672316384,0.8729281767955801,0.88268156424581,4,0.9165918342911877,0.8926553672316384,54.0,68.2,71.0,0.0055248618784530384,0.8729281767955801,4,0.4444444444444444,4,0.4444444444444444
D16,GARQ,0,instrumented_legacy,0.020011789891719152,Spinous,0.09760789302224566,Intermediate,3146,0.8863858961802155,0.8630006357279084,0.8745369624738284,57,0.8799859502813515,0.8863858961802155,52.0,74.0,115.0,0.17800381436745072,0.8630006357279084,56,0.2692307692307692,51,0.24519230769230768
D16,GARQ,0,instrumented_legacy,0.020011789891719152,TAC-1,0.10455772393037759,Common,3370,0.84875,0.8059347181008902,0.8267884322678842,65,0.8421459474590521,0.84875,52.0,74.0,86.0,0.13887240356083086,0.8059347181008902,63,0.26141078838174275,55,0.22821576763485477
D16,GARQ,0,instrumented_legacy,0.020011789891719152,TAC-2,0.03127423908659365,Intermediate,1008,0.745158002038736,0.7251984126984127,0.7350427350427351,19,0.746884131472737,0.745158002038736,53.0,77.75,86.0,0.000992063492063492,0.7251984126984127,17,0.19767441860465115,11,0.12790697674418605
