stage,wall_time_seconds,cpu_rss_start_bytes,cpu_rss_end_bytes,cpu_rss_peak_bytes,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,status,error_type,error_message
resource_preflight,0.0608703130856156,571326464,677220352,677220352,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,34.06700805015862,687689728,8664780800,22863474688,0,0,PASS,,
anchor_initialization_before_warmup,0.7903223899193108,8677302272,9080221696,9080221696,201108480,230686720,PASS,,
warmup_and_full_training,930.6697764243,9080242176,10096844800,10165280768,1220017152,1333788672,PASS,,
inference,3.731773406732827,10115252224,10115518464,10396241920,1774950912,2571108352,PASS,,
same_checkpoint_inference_stability,0.0012632100842893,10115801088,10115801088,10115801088,397130752,2571108352,PASS,,
common_evaluation,0.0875470633618533,10115801088,10116595712,10116595712,397130752,2571108352,PASS,,
metacell_aggregation,1.5336851659230888,10116595712,10277916672,10277916672,397130752,2571108352,PASS,,
resource_preflight,0.1002877037972211,571129856,677285888,677285888,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,36.98586056800559,687693824,8665239552,22863953920,0,0,PASS,,
anchor_initialization_before_warmup,0.8060818780213594,8678014976,9082122240,9082122240,201108480,230686720,PASS,,
warmup_and_full_training,919.8648321568036,9082142720,10099154944,10167304192,1220017152,1333788672,PASS,,
inference,3.812757026869804,10118803456,10119032832,10399772672,1774950912,2571108352,PASS,,
same_checkpoint_inference_stability,0.0014278781600296,10119315456,10119315456,10119315456,397130752,2571108352,PASS,,
common_evaluation,0.0883339466527104,10119315456,10120105984,10120105984,397130752,2571108352,PASS,,
metacell_aggregation,2.1839351071976125,10120105984,10252251136,10271461376,397130752,2571108352,PASS,,
resource_preflight,0.0828919545747339,571023360,676982784,676982784,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,36.46552423899993,687525888,8663961600,22863691776,0,0,PASS,,
anchor_initialization_before_warmup,0.7506605540402234,8674607104,9081061376,9110118400,201108480,230686720,PASS,,
warmup_and_full_training,954.570941275917,9081085952,10117636096,10186207232,1220017152,1333788672,PASS,,
inference,3.812562284059823,10136211456,10136723456,10417451008,1774950912,2571108352,PASS,,
same_checkpoint_inference_stability,0.0018626577220857,10137030656,10137034752,10137034752,397130752,2571108352,PASS,,
common_evaluation,0.1287835910916328,10137034752,10137763840,10137763840,397130752,2571108352,PASS,,
metacell_aggregation,2.2777750571258366,10137763840,10300612608,10300612608,397130752,2571108352,PASS,,
resource_preflight,0.0801021880470216,569593856,675356672,675356672,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,50.278589053079486,685936640,11469901824,24928395264,0,0,PASS,,
anchor_initialization_before_warmup,0.7891513290815055,11484844032,11861663744,11861663744,189004800,209715200,PASS,,
warmup_and_full_training,1441.9342629541643,11861684224,12852072448,12917518336,1139943424,1199570944,PASS,,
inference,5.867531226947904,12879294464,12879646720,13152104448,1707677184,2436890624,PASS,,
same_checkpoint_inference_stability,0.0021952497772872,12879974400,12879974400,12879974400,361967616,2436890624,PASS,,
common_evaluation,0.1066259569488465,12879974400,12880752640,12880752640,361967616,2436890624,PASS,,
metacell_aggregation,1.193203091621399,12880752640,12983808000,13060898816,361967616,2436890624,PASS,,
resource_preflight,0.0741581469774246,570937344,676876288,676876288,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,37.06915477011353,687468544,11470184448,24930316288,0,0,PASS,,
anchor_initialization_before_warmup,0.7380444621667266,11480371200,11785535488,11824529408,189004800,209715200,PASS,,
warmup_and_full_training,1483.4418620588258,11785560064,12852117504,12918575104,1139943424,1199570944,PASS,,
inference,5.766495767980814,12878266368,12878516224,13150982144,1707677184,2436890624,PASS,,
same_checkpoint_inference_stability,0.0022228807210922,12878815232,12878815232,12878815232,361967616,2436890624,PASS,,
common_evaluation,0.1076395669952035,12878815232,12879503360,12879503360,361967616,2436890624,PASS,,
metacell_aggregation,1.1909338291734457,12879503360,12973703168,13083721728,361967616,2436890624,PASS,,
resource_preflight,0.0641015958972275,569724928,675409920,675409920,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,32.044770599808544,685801472,11468652544,24928579584,0,0,PASS,,
anchor_initialization_before_warmup,0.7777853957377374,11479834624,11860729856,11867443200,189004800,209715200,PASS,,
warmup_and_full_training,1451.6775100319646,11860750336,12847865856,12914593792,1139943424,1199570944,PASS,,
inference,5.776878159027547,12873809920,12874063872,13146521600,1707677184,2436890624,PASS,,
same_checkpoint_inference_stability,0.0022031390108168,12874391552,12874391552,12874391552,361967616,2436890624,PASS,,
common_evaluation,0.1075868313200771,12874391552,12875169792,12875169792,361967616,2436890624,PASS,,
metacell_aggregation,1.1849944982677698,12875169792,13009543168,13079482368,361967616,2436890624,PASS,,
resource_preflight,0.0810544630512595,570765312,676896768,676896768,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,140.42141987383366,687271936,22521561088,82456674304,0,0,PASS,,
anchor_initialization_before_warmup,1.9239834928885104,22583914496,23075737600,23075737600,189941248,211812352,PASS,,
warmup_and_full_training,3344.685354289133,23075737600,23944695808,24012546048,1145831936,1218445312,PASS,,
inference,10.929503405001014,23972597760,23973064704,24245256192,1706921984,2455764992,PASS,,
same_checkpoint_inference_stability,0.0027924259193241,23979257856,23979257856,23979257856,362914304,2455764992,PASS,,
common_evaluation,0.155935768969357,23979257856,23979941888,23979941888,362914304,2455764992,PASS,,
metacell_aggregation,6.249706960748881,23979941888,23973208064,24572485632,362914304,2455764992,PASS,,
resource_preflight,0.073304773773998,570703872,676794368,676794368,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,118.43102669110522,687116288,22518206464,82454777856,0,0,PASS,,
anchor_initialization_before_warmup,1.5658651143312454,22580080640,23002353664,23002353664,189941248,211812352,PASS,,
warmup_and_full_training,3349.204207902774,23002378240,23924191232,23989985280,1145831936,1218445312,PASS,,
inference,10.539781623054296,23951966208,23952478208,24224673792,1706921984,2455764992,PASS,,
same_checkpoint_inference_stability,0.0026106890290975,23958642688,23958642688,23958642688,362914304,2455764992,PASS,,
common_evaluation,0.155236966907978,23958642688,23959441408,23959441408,362914304,2455764992,PASS,,
metacell_aggregation,6.287027853075415,23959441408,23954821120,24556847104,362914304,2455764992,PASS,,
resource_preflight,0.0802705339156091,570773504,676802560,676802560,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,143.27095213579014,687116288,22515671040,82455662592,0,0,PASS,,
anchor_initialization_before_warmup,1.626949922181666,22577909760,23073435648,23073435648,189941248,211812352,PASS,,
warmup_and_full_training,3374.245307009201,23073460224,23924121600,23988592640,1145831936,1218445312,PASS,,
inference,11.449585339985788,23951933440,23952539648,24224735232,1706921984,2455764992,PASS,,
same_checkpoint_inference_stability,0.0027839560061693,23958683648,23958683648,23958683648,362914304,2455764992,PASS,,
common_evaluation,0.1541998810134828,23958683648,23959482368,23959482368,362914304,2455764992,PASS,,
metacell_aggregation,4.446360714733601,23959482368,23990550528,24537677824,362914304,2455764992,PASS,,
resource_preflight,0.074587311130017,570335232,676335616,676335616,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,2.8981222207657997,686514176,1803964416,5433741312,0,0,PASS,,
anchor_initialization_before_warmup,0.3531723385676741,1834921984,1940979712,1940979712,57596416,60817408,PASS,,
warmup_and_full_training,1073.551225666888,1940987904,2539827200,2542899200,226009088,243269632,PASS,,
inference,3.31066336715594,2561327104,2561495040,2573963264,230664704,285212672,PASS,,
same_checkpoint_inference_stability,0.0017335433512926,2562273280,2562273280,2562273280,129860096,285212672,PASS,,
common_evaluation,0.1169368489645421,2562273280,2562883584,2562883584,129860096,285212672,PASS,,
metacell_aggregation,0.2172397752292454,2562883584,2584449024,2584449024,129860096,285212672,PASS,,
resource_preflight,0.0803807997144758,570839040,676626432,676626432,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,2.935080755967647,687087616,1804001280,5434089472,0,0,PASS,,
anchor_initialization_before_warmup,0.3762754607014358,1834733568,1943379968,1943379968,57596416,60817408,PASS,,
warmup_and_full_training,1079.2387666380964,1943408640,2544025600,2545909760,226009088,243269632,PASS,,
inference,4.172313251066953,2565865472,2566205440,2578665472,230664704,285212672,PASS,,
same_checkpoint_inference_stability,0.0004973541945219,2566926336,2566926336,2566926336,129860096,285212672,PASS,,
common_evaluation,0.007765376009047,2566926336,2567053312,2567053312,129860096,285212672,PASS,,
metacell_aggregation,0.4642884721979499,2567053312,2582581248,2582581248,129860096,285212672,PASS,,
resource_preflight,0.0843344521708786,570839040,677134336,677134336,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,3.13721769489348,687562752,1805225984,5434839040,0,0,PASS,,
anchor_initialization_before_warmup,0.3607373009435832,1835778048,1936060416,1936060416,57596416,60817408,PASS,,
warmup_and_full_training,1057.5711805191822,1936093184,2562420736,2565152768,226009088,243269632,PASS,,
inference,4.053261569701135,2584199168,2584576000,2597040128,230664704,285212672,PASS,,
same_checkpoint_inference_stability,0.0006021689623594,2585309184,2585309184,2585309184,129860096,285212672,PASS,,
common_evaluation,0.0065213576890528,2585309184,2585554944,2585554944,129860096,285212672,PASS,,
metacell_aggregation,0.2831696849316358,2585554944,2599751680,2599751680,129860096,285212672,PASS,,
