dataset,seed,batch_size,requested_K,realized_K,empty_anchor_count,size_median,size_max,size_gini,macro_f1,mean_weighted_purity,wall_time_seconds,peak_cpu_rss_bytes,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,status,source_dir
D5,0,256,242,237,5,48.0,158.0,0.1915471667065842,0.7824750224749271,0.8259934560078219,1081.2398526668549,5433741312,230664704,285212672,PASS,revision_results/phase2/01_size_resolution/D5/GARQ/full_seed0_K002
D5,0,512,242,242,0,52.0,72.0,0.1149933456837079,0.8746894216632385,0.8765780839271066,1716.440570116043,5431365632,284901888,432013312,PASS,revision_results/phase2/08_scalability/training_batch_size/D5/batch512_seed0_K002
D5,0,1024,242,242,0,57.0,79.0,0.1963057448361617,0.8569490696429325,0.8967711020070632,1390.2726638317108,5432295424,559759872,1134559232,PASS,revision_results/phase2/08_scalability/training_batch_size/D5/batch1024_seed0_K002
D5,0,2048,242,240,2,60.0,104.0,0.2692682943622793,0.8001040740129732,0.8424243993264936,1239.5994045734406,5432332288,1272096768,2105540608,PASS,revision_results/phase2/08_scalability/training_batch_size/D5/batch2048_seed0_K002
D5,1,256,242,239,3,50.0,188.0,0.1692011075092208,0.7512242684133404,0.8496736432739146,1088.1598575115204,5434089472,230664704,285212672,PASS,revision_results/phase2/01_size_resolution/D5/GARQ/full_seed1_K002
D5,1,512,242,232,10,51.0,1223.0,0.2943980118921783,0.7986227237769208,0.8456899855717255,1832.2537355422974,5432557568,284901888,432013312,PASS,revision_results/phase2/08_scalability/training_batch_size/D5/batch512_seed1_K002
D5,1,1024,242,240,2,57.0,81.0,0.197624211627971,0.8286421552548316,0.8848771125822108,1483.279241323471,5434769408,559759872,1134559232,PASS,revision_results/phase2/08_scalability/training_batch_size/D5/batch1024_seed1_K002
D5,1,2048,242,239,3,60.0,111.0,0.3061435371499234,0.7632719998170023,0.8563794614869122,1344.7051899433136,5431455744,1272096768,2105540608,PASS,revision_results/phase2/08_scalability/training_batch_size/D5/batch2048_seed1_K002
D5,2,256,242,236,6,48.5,1131.0,0.2444221701581202,0.7680471978237243,0.8498845619035437,1066.3384680747986,5434839040,230664704,285212672,PASS,revision_results/phase2/01_size_resolution/D5/GARQ/full_seed2_K002
D5,2,512,242,242,0,53.0,70.0,0.1207681587039071,0.8187184939664465,0.8854838330364165,1787.989191532135,5433036800,284901888,432013312,PASS,revision_results/phase2/08_scalability/training_batch_size/D5/batch512_seed2_K002
D5,2,1024,242,242,0,57.5,79.0,0.1972166589391469,0.8156478429808365,0.8763070867251379,1467.2242908477783,5431762944,559759872,1134559232,PASS,revision_results/phase2/08_scalability/training_batch_size/D5/batch1024_seed2_K002
D5,2,2048,242,241,1,64.0,95.0,0.299905067945501,0.7960303259606626,0.8349855140502006,1305.2717988491058,5432254464,1272096768,2105540608,PASS,revision_results/phase2/08_scalability/training_batch_size/D5/batch2048_seed2_K002
D11,0,256,193,193,0,55.0,79.0,0.1621964478909049,0.9149259132548042,0.913599829782026,971.7436389923096,22863474688,1774950912,2571108352,PASS,revision_results/phase2/01_size_resolution/D11/GARQ/full_seed0_K002
D11,0,512,193,193,0,56.0,98.0,0.2095284925674487,0.8565739874217456,0.9102456695880163,878.0384738445282,22860431360,3084379648,4661968896,PASS,revision_results/phase2/08_scalability/training_batch_size/D11/batch512_seed0_K002
D11,0,1024,193,186,7,18.5,2999.0,0.6905004337472075,0.5822246273470649,0.7836583557451007,923.9741685390472,22862905344,5822973440,8774483968,PASS,revision_results/phase2/08_scalability/training_batch_size/D11/batch1024_seed0_K002
D11,0,2048,193,177,16,23.0,3097.0,0.6770756156408771,0.5729666044343066,0.7515956649305535,1021.9636435508728,22862229504,11303624192,17894998016,PASS,revision_results/phase2/08_scalability/training_batch_size/D11/batch2048_seed0_K002
D11,1,256,193,193,0,54.0,92.0,0.1808204615600637,0.8373431191841165,0.8881755876351105,964.6758661270142,22863953920,1774950912,2571108352,PASS,revision_results/phase2/01_size_resolution/D11/GARQ/full_seed1_K002
D11,1,512,193,193,0,55.0,82.0,0.2228716315998155,0.8953423617157923,0.8983669160805651,957.3929722309113,22860468224,3084379648,4661968896,PASS,revision_results/phase2/08_scalability/training_batch_size/D11/batch512_seed1_K002
D11,1,1024,193,189,4,15.0,4165.0,0.7431239180797897,0.36248992141409736,0.7306820282826084,901.899759054184,22863200256,5822973440,8774483968,PASS,revision_results/phase2/08_scalability/training_batch_size/D11/batch1024_seed1_K002
D11,1,2048,193,182,11,13.0,3213.0,0.7649331770918314,0.4635994118781955,0.7275360996069773,1023.0145471096039,22859063296,11303624192,17894998016,PASS,revision_results/phase2/08_scalability/training_batch_size/D11/batch2048_seed1_K002
D11,2,256,193,193,0,56.0,75.0,0.1937601107821623,0.9116268983908443,0.9170394139996967,998.9018468856812,22863691776,1774950912,2571108352,PASS,revision_results/phase2/01_size_resolution/D11/GARQ/full_seed2_K002
D11,2,512,193,180,13,35.0,2954.0,0.5590079488688148,0.7930798458475024,0.878016489678224,920.0711863040924,22864146432,3084379648,4661968896,PASS,revision_results/phase2/08_scalability/training_batch_size/D11/batch512_seed2_K002
D11,2,1024,193,193,0,62.0,84.0,0.2525286706409516,0.8355872346818864,0.879536021005959,900.0827386379242,22862184448,5822973440,8774483968,PASS,revision_results/phase2/08_scalability/training_batch_size/D11/batch1024_seed2_K002
D11,2,2048,193,184,9,7.0,1802.0,0.8289914135964932,0.4278999494088778,0.7118063371271063,994.4076192378998,22860333056,11303624192,17894998016,PASS,revision_results/phase2/08_scalability/training_batch_size/D11/batch2048_seed2_K002
