dataset,seed,reference_batch_size,batch_size,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand
D5,0,256,512,12103,0.14967311139945624,0.5815444899109423,4.541460025530476,0.9923471828519524
D5,0,256,1024,12103,0.14257399699478251,0.5736576929091285,4.598543883038555,0.9919515400595393
D5,0,256,2048,12103,0.1362258720612181,0.5583087095932422,4.735787491403682,0.9915293799831619
D5,1,256,512,12103,0.12694740208610591,0.5931768324298367,4.290612187815341,0.9836534462439831
D5,1,256,1024,12103,0.15213742475155223,0.5810717289476858,4.523833483931613,0.9921026831162856
D5,1,256,2048,12103,0.14290590042779436,0.5673313633297807,4.628768546520744,0.9914520947992083
D5,2,256,512,12103,0.11355085453263314,0.5881761894306179,4.386915882219132,0.9851685362512504
D5,2,256,1024,12103,0.10726082651971838,0.5759088856677698,4.489440525897256,0.9847246243554316
D5,2,256,2048,12103,0.11156538423385857,0.5690111621055515,4.51708955624929,0.9842339180558303
D11,0,256,512,9631,0.24341958925345303,0.6558466659832493,3.575798706379288,0.9914563488251259
D11,0,256,1024,9631,0.03799045349218897,0.5451525158125171,4.0785155979576055,0.8921664454724074
D11,0,256,2048,9631,0.034388223823383926,0.5356443469044092,4.177213156342986,0.8904737891541603
D11,1,256,512,9631,0.2562943848111911,0.6571693433245807,3.5543948023590177,0.9914655998450832
D11,1,256,1024,9631,0.022931755428965382,0.4801216826802094,4.393925971252934,0.8043676674480436
D11,1,256,2048,9631,0.03388966963245662,0.4951141114022148,4.402948539835115,0.877283020723255
D11,2,256,512,9631,0.04583452601991149,0.600150919879787,3.697220735020508,0.9022791041346776
D11,2,256,1024,9631,0.2199705203219109,0.6324622215994954,3.79148424442037,0.990755470851578
D11,2,256,2048,9631,0.055183778845636494,0.5038052858581634,4.298541781248259,0.9271284003832811
