dataset_id,authoritative_name,modality,absolute_path,file_fast_fingerprint,file_size,mtime_epoch,n_obs,n_vars,obs_names_hash,var_names_hash,label_keys,batch_keys,X_sparse_or_dense,X_dtype,X_min_sample,X_max_sample,integer_fraction_sample,zero_fraction_estimate,raw_present,layers,expected_shape_match,counts_source_candidate,count_scale_status,duplicate_normalize_log_risk
D5,BMMC_batch1,RNA,/home/zhangpeiru/data/RNA+ADT/D8/D8_rna.h5ad,sha256_size_plus_3x1MiB:2dbd948377b25530147ec61f9a65ada19c03b934340189c081c24be3584c2036,949041199,1761303827,12103,9786,09bc1d1c7e688fab47343eac602c9da7e1e549b1aeb6c7905df87cf81c42b99e,226366694ca4c16f1b8ecc083e01418efef6ef9ca81410704f2cb83df42ba35a,celltype,,dense,float64,0.0,12754.0,1.0,0.912402248572226,False,,True,X,COUNT_LIKE,LOW
D5,BMMC_batch1,ADT,/home/zhangpeiru/data/RNA+ADT/D8/D8_adt.h5ad,sha256_size_plus_3x1MiB:e0c705e465310c6dd4513fef22fb8cf2f2bc5a848e52f3f69988ff93f3fdd19f,3137439,1761303827,12103,25,09bc1d1c7e688fab47343eac602c9da7e1e549b1aeb6c7905df87cf81c42b99e,a52307c650569bc755d3dada50c5339675071454798d8cba871bc461abc89008,celltype,,dense,float64,0.0,17045.0,1.0,0.0055622572915806,False,,True,X,COUNT_LIKE,LOW
D11,10Xpbmc10k,RNA,/home/zhangpeiru/data/RNA+ATAC/pbmc10k/10x-Multiome-Pbmc10k-RNA.h5ad,sha256_size_plus_3x1MiB:08da05a7a8f301b619ad7897b89cecd7595498f75d831f9ffcf4003baa3eb899,50668504,1760407668,9631,29095,c63c1d5231c9296e08736e6ff2c355ed99b039a673f8f848c398b4b502007e8e,2bb2ca74968a4e5e06ff82064a6a6731dda129b598fd51cde3a08668b13d1155,cell_type|cells,,csr_matrix,float32,1.0,441.0,1.0,0.9340587136018517,False,,True,X,COUNT_LIKE,LOW
D11,10Xpbmc10k,ATAC,/home/zhangpeiru/data/RNA+ATAC/pbmc10k/10x-Multiome-Pbmc10k-ATAC.h5ad,sha256_size_plus_3x1MiB:e4d4c6f2d1fb727cb14628f644a12f7d9edd8c31d1bd3e23256ede06562d80e3,153863242,1760407682,9631,107194,c63c1d5231c9296e08736e6ff2c355ed99b039a673f8f848c398b4b502007e8e,ec7e2f3058ac8e4dbffbd0e969bbe4155d8027cd66a77370b0fd5748b8af73fe,cell_type|cells,,csr_matrix,float32,1.0,52.0,1.0,0.9309826136307656,False,,True,X,COUNT_LIKE,LOW
D13,GSE164378,RNA,/home/zhangpeiru/data/RNA+ADT/GSE164378/GSE164378_rna.h5ad,sha256_size_plus_3x1MiB:a8c4c15a1a715ebb600db11d9ce139e048b92ef0fe85189f736a7515d8631389,4267828660,1753839192,161764,33538,8f660558750fd959fa11a312ec636678029480686ab3244ccdf75dbcfca6268c,b781225938ff5855561e5fa2892f18113b119a89a92a2d0170d802b9f8bef1cd,celltype,,csc_matrix,float64,1.0,471.0,1.0,0.9346901219853488,False,,True,X,COUNT_LIKE,LOW
D13,GSE164378,ADT,/home/zhangpeiru/data/RNA+ADT/GSE164378/GSE164378_adt.h5ad,sha256_size_plus_3x1MiB:d5905f555af00afb193e6f785524f052bb55e75d29fd6afdeb86292fd847d274,415328212,1753838164,161764,228,8f660558750fd959fa11a312ec636678029480686ab3244ccdf75dbcfca6268c,9abc28b7ad7e5f963ae53cc9e9d199b78f226e2f1094e75bf8c38df577de3c4e,celltype,,csc_matrix,float64,1.0,3357.0,1.0,0.08899991627395681,False,,True,X,COUNT_LIKE,LOW
D16,GSE140203,RNA,/home/zhangpeiru/data/RNA+ATAC/ma/Ma-2020-RNA.h5ad,sha256_size_plus_3x1MiB:904b86ec938df71ce0d9ed6c3ca9005fd8f4d2aca904873d3762e519a801d5fc,50822146,1760407617,32231,21478,a59358c4272f1b780d3fd0e1a456d94ebc1dda6bb21be0e544596db8bb5c51ab,2959dc004eab04a11c9fb082ab47fb886fe0c9bf928061c086b9008aac0a5335,cell_type|cells,batch,csr_matrix,float32,1.0,815.0,1.0,0.9714134807581072,False,,True,X,COUNT_LIKE,LOW
D16,GSE140203,ATAC,/home/zhangpeiru/data/RNA+ATAC/ma/Ma-2020-ATAC.h5ad,sha256_size_plus_3x1MiB:6f5d83891054a6e07a5500fe7114560a5a294fcadd4f29c07b39723766ed16c7,274596957,1760407644,32231,340341,a59358c4272f1b780d3fd0e1a456d94ebc1dda6bb21be0e544596db8bb5c51ab,c60599785b5eb01a5e0363453da8e4a07a3a7e01b565d90d26a2eb1cf3bd7658,cell_type|cells,batch,csr_matrix,float32,1.0,6.0,1.0,0.9884116648511474,False,,True,X,COUNT_LIKE,LOW
D17,Human_Kidney_Cancer,RNA,/home/zhangpeiru/data/analysis/new/kidney_rna_updated.h5ad,sha256_size_plus_3x1MiB:940cd22bb3df0ca92cc7415b9ea7afcd4db2413a6d9acfb6e3732cf442615b32,2100340468,1781418832,16143,32445,b8831409f3e6b1a55662afe14bf347a062a78b375e7dc29c785474a9e7038c69,49f5004445f84da548812fd9801edb1f5be3bd02ba889b3c919d52e25d2d7a15,celltype,,dense,float32,0.0,2023.0,1.0,0.9267703800809316,False,,True,X,COUNT_LIKE,LOW
D17,Human_Kidney_Cancer,ATAC,/home/zhangpeiru/data/analysis/new/kidney_atac_updated.h5ad,sha256_size_plus_3x1MiB:bfa1f2b0f9955545d1a25ecc902323e03ccc733720efc11d49e95edff17afbce,4346075920,1781418844,16143,67150,b8831409f3e6b1a55662afe14bf347a062a78b375e7dc29c785474a9e7038c69,d75e2938056eff1ceafaf779c5c36495a3cb9b15c87b4d56fb33af6d9fe747f5,celltype,,dense,float32,0.0,728.0,1.0,0.9536500014368049,False,,True,X,COUNT_LIKE,LOW
