dataset,combination_a,combination_b,source_assignment_a,source_assignment_b,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand
D11,ATAC,RNA,revision_results/02_modality/smoke/D11/ATAC_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D11/RNA_seed0/cell_assignments.csv,2000,0.1830587780298041,0.34614637809963317,3.596475459624367,0.8420770385192596
D11,ATAC,RNA+ATAC,revision_results/02_modality/smoke/D11/ATAC_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/cell_assignments.csv,2000,0.20606431073115639,0.3778215905209583,3.2372526617652877,0.8319779889944973
D11,RNA,RNA+ATAC,revision_results/02_modality/smoke/D11/RNA_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/cell_assignments.csv,2000,0.16305984543371507,0.37169632971076877,3.6447580838209483,0.8800140070035017
D17,ATAC,RNA,revision_results/02_modality/smoke/D17/ATAC_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D17/RNA_seed0/cell_assignments.csv,2000,0.013996059393298432,0.10553570335756648,4.892845545688554,0.7935827913956979
D17,ATAC,RNA+ATAC,revision_results/02_modality/smoke/D17/ATAC_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D17/RNA_ATAC_seed0/cell_assignments.csv,2000,0.16128325383827252,0.2670106193656927,3.863665134757733,0.8184797398699349
D17,RNA,RNA+ATAC,revision_results/02_modality/smoke/D17/RNA_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D17/RNA_ATAC_seed0/cell_assignments.csv,2000,0.12079918299748237,0.3244106160755882,3.9765304221734414,0.8660175087543772
D18,ADT,ATAC,revision_results/02_modality/smoke/D18/ADT_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/ATAC_seed0/cell_assignments.csv,2000,-0.009680491005304128,0.15150339576516395,4.250105825194801,0.7480205102551276
D18,ADT,ATAC+ADT,revision_results/02_modality/smoke/D18/ADT_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/ATAC_ADT_seed0/cell_assignments.csv,2000,0.1139690642615687,0.3096345634931019,3.815253475874445,0.8432926463231616
D18,ADT,RNA,revision_results/02_modality/smoke/D18/ADT_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_seed0/cell_assignments.csv,2000,0.1838050587432478,0.39594574186277437,3.2762475121020977,0.8474192096048024
D18,ADT,RNA+ADT,revision_results/02_modality/smoke/D18/ADT_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_ADT_seed0/cell_assignments.csv,2000,0.18264153860253954,0.40635846209122384,3.255609687092079,0.8500410205102551
D18,ADT,RNA+ATAC,revision_results/02_modality/smoke/D18/ADT_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_ATAC_seed0/cell_assignments.csv,2000,0.13050501098810327,0.37360876797231196,3.542159984295835,0.8491885942971485
D18,ADT,RNA+ATAC+ADT,revision_results/02_modality/smoke/D18/ADT_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_ATAC_ADT_seed0/cell_assignments.csv,2000,0.14524410014924677,0.38259932887270226,3.4334310242974295,0.8475822911455728
D18,ATAC,ATAC+ADT,revision_results/02_modality/smoke/D18/ATAC_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/ATAC_ADT_seed0/cell_assignments.csv,2000,0.031149921163977433,0.17715937863488537,4.421904582368273,0.7887268634317158
D18,ATAC,RNA,revision_results/02_modality/smoke/D18/ATAC_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_seed0/cell_assignments.csv,2000,0.12665223469970074,0.2089243363956323,4.1699875966971796,0.8018739369684842
D18,ATAC,RNA+ADT,revision_results/02_modality/smoke/D18/ATAC_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_ADT_seed0/cell_assignments.csv,2000,0.10833804961454604,0.19946873760505154,4.268159080063434,0.8004217108554277
D18,ATAC,RNA+ATAC,revision_results/02_modality/smoke/D18/ATAC_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_ATAC_seed0/cell_assignments.csv,2000,0.07412545947228594,0.21856524191025217,4.2997609130244525,0.8008589294647324
D18,ATAC,RNA+ATAC+ADT,revision_results/02_modality/smoke/D18/ATAC_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_ATAC_ADT_seed0/cell_assignments.csv,2000,0.05280801538302931,0.2128557152652907,4.25737300394441,0.7922491245622811
D18,ATAC+ADT,RNA,revision_results/02_modality/smoke/D18/ATAC_ADT_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_seed0/cell_assignments.csv,2000,0.13105984816840346,0.316402391539144,3.9571619860350333,0.8717723861930965
D18,ATAC+ADT,RNA+ADT,revision_results/02_modality/smoke/D18/ATAC_ADT_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_ADT_seed0/cell_assignments.csv,2000,0.12573237621378083,0.3212536622353422,3.970055398923931,0.8744052026013006
D18,ATAC+ADT,RNA+ATAC,revision_results/02_modality/smoke/D18/ATAC_ADT_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_ATAC_seed0/cell_assignments.csv,2000,0.08938063305505212,0.31023309545528227,4.15228280175174,0.879455727863932
D18,ATAC+ADT,RNA+ATAC+ADT,revision_results/02_modality/smoke/D18/ATAC_ADT_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_ATAC_ADT_seed0/cell_assignments.csv,2000,0.12322633401199315,0.3197272661641086,4.031345951525609,0.8791290645322661
D18,RNA,RNA+ADT,revision_results/02_modality/smoke/D18/RNA_seed0/cell_assignments.csv,revision_results/02_modality/smoke/D18/RNA_ADT_seed0/cell_assignments.csv,2000,0.568618477337321,0.49564577714528474,2.898240242654224,0.9332351175587794
